"SN.","Title","Registration Number","Registration Date","Language","Periodicity","Publisher","Owner","Publication State","Publication District","Action"
"13","AAJ KA TELANGANA","TELURD/2008/28300","06-07-2009","Urdu","Daily","SYED ASAD","SYED ASAD","Telangana","Nizamabad","View        registration details for AAJ KA TELANGANA (TELURD/2008/28300)"
"14","AAKASHAM","TELTEL/2015/62885","24-06-2015","Telugu","Daily","Anu Sharma","Anu Sharma","Telangana","Hyderabad","View        registration details for AAKASHAM (TELTEL/2015/62885)"
"15","AAP KA FAISLA","TELURD/2019/78344","24-12-2019","Urdu","Weekly","MIRZA AKBAR BAIG","MIRZA AKBAR BAIG","Telangana","Nizamabad","View        registration details for AAP KA FAISLA (TELURD/2019/78344)"
"16","AAPKA ANGARA","TELURD/2014/59671","19-01-2015","Urdu","Daily","SYED MOHAMMED QUADRI","SYED MOHAMMED QUADRI","Telangana","Hyderabad","View        registration details for AAPKA ANGARA (TELURD/2014/59671)"
"17","AAROGYA DARSHINI","TELTEL/2015/61261","15-04-2015","Telugu","Fortnightly","DR. PAVUSHETTY SREEDHAR","PAVUSHETTY SREEDHAR","Telangana","Warangal","View        registration details for AAROGYA DARSHINI (TELTEL/2015/61261)"
"18","AAROGYA HARIVILLU","TELTEL/2016/69804","27-12-2016","Telugu","Monthly","P. NARESH","P.NARESH","Telangana","Hyderabad","View        registration details for AAROGYA HARIVILLU (TELTEL/2016/69804)"
"19","AASHA JYOTHI","APTEL/2006/18016","29-11-2006","Telugu","Daily","P. DILLI BABU REDDY","P.DILLI BABU REDDY","Telangana","Hyderabad","View        registration details for AASHA JYOTHI (APTEL/2006/18016)"
"20","AASHWI UPDATES","TGMUL/26/A2874","29-04-2026","English, Telugu, Hindi","Daily","SHOBHA RANI KASOJU","SHOBHA RANI KASOJU","Telangana","Rangareddy","View        registration details for AASHWI UPDATES (TGMUL/26/A2874)"
"21","ABHINAYA","TELTEL/2004/12589","20-11-2003","Telugu","Monthly","G.SRINIVAS RAO","G.SRINIVAS RAO","Telangana","Hyderabad","View        registration details for ABHINAYA (TELTEL/2004/12589)"
"22","ACHARYA N G RANGA VYAVASAYA VISWA VIDYALAYAM VYAVASAYAM","APTEL/2012/46939","10-12-2012","Telugu","Monthly","K. GURAVA REDDY","ACHARYA N.G. RANGA AGRICULTURE UNIVERSITY","Telangana","Guntur","View        registration details for ACHARYA N G RANGA VYAVASAYA VISWA VIDYALAYAM VYAVASAYAM (APTEL/2012/46939)"
"23","ADARSH PEDDAPALLI","TELTEL/2021/81095","03-02-2022","Telugu","Fortnightly","NARAYAN DAS TIWARI","NARAYANDAS TIWARI","Telangana","Peddapalli","View        registration details for ADARSH PEDDAPALLI (TELTEL/2021/81095)"
"24","ADEEB TIMES","TELENG/2014/56376","01-08-2014","English","Weekly","MOHAMMED ATHER","MOHAMMED ATHER","Telangana","Hyderabad","View        registration details for ADEEB TIMES (TELENG/2014/56376)"
"25","ADHIPATHI NEWSTIMES","TGTEL/25/A1818","14-07-2025","Telugu","Daily","CHUNARKAR MAHESH","CHUNARKAR MAHESH","Telangana","Kumuram Bheem Asifabad","View        registration details for ADHIPATHI NEWSTIMES (TGTEL/25/A1818)"
"26","ADITYA","APTEL/2000/04943","06-10-2001","Telugu","Fortnightly","ARROJHVALA PRABHAKAR SHARMA","ARROJHVALA PRABHAKAR SHARMA","Telangana","Karimnagar","View        registration details for ADITYA (APTEL/2000/04943)"
"27","ADUSUMILLI VIJAYA INTERNATIONAL JOURNAL OF ENGINEERING AND TECHNOLOGY INNOVATIONS","TELENG/2017/72407","22-06-2017","English","Monthly","ADUSUMILLI MURALI KRISHNA PRASAD","ADUSUMILLI VIJAYA COLLEGE OF ENGINEERING AND RESEARCH CENTRE","Telangana","Rangareddy","View        registration details for ADUSUMILLI VIJAYA INTERNATIONAL JOURNAL OF ENGINEERING AND TECHNOLOGY INNOVATIONS (TELENG/2017/72407)"
"28","ADVOCATE LAW EXPRESS","TELENG/2021/88068","18-07-2024","ENGLISH","Weekly","MD. SHAH ALAM JAVID","MD. SHAH ALAM JAVID","Telangana","","View        registration details for ADVOCATE LAW EXPRESS (TELENG/2021/88068)"
"29","Adwaitha Sakaram","TGTEL/25/A1031","04-06-2025","Telugu","Daily","Velupula Pranay Bhaskar","Velupula Pranay Bhaskar","Telangana","Warangal","View        registration details for Adwaitha Sakaram (TGTEL/25/A1031)"
"30","AGNI DHARA","TELTEL/2024/89359","04-10-2024","TELUGU","Weekly","CHEGONDA RAVI KUMAR YADAV","CHEGONDA RAVI KUMAR YADAV","Telangana","Peddapalli","View        registration details for AGNI DHARA (TELTEL/2024/89359)"
"31","AGNI POOLU","44850","12-02-1981","Telugu","Fortnightly","K SWAYM PRAKASH","K. SWAYM PRAKASH","Telangana","Nizamabad","View        registration details for AGNI POOLU (44850)"
"32","AGNIKANAM","TELTEL/2021/83459","28-02-2023","Telugu","Monthly","KALUKURI RAJU","KALUKURI RAJU","Telangana","Hyderabad","View        registration details for AGNIKANAM (TELTEL/2021/83459)"
"33","AGOPA NEWS","APENG/1999/0113","25-11-1999","English","Monthly","D. CHRISTOPHER SATYARAJ","ACCOUNTANTS GENERAL OFFICES PENSIONERS ASSOCIATION","Telangana","Hyderabad","View        registration details for AGOPA NEWS (APENG/1999/0113)"
"34","AGR MANCH","TELHIN/2014/58386","18-11-2014","Hindi","Monthly","DILIP KUMAR PANSARI","DILIP KUMAR PANSARI","Telangana","Hyderabad","View        registration details for AGR MANCH (TELHIN/2014/58386)"
"35","AGRA NETHA","TELTEL/2015/66279","29-02-2016","Telugu","Daily","UPPUGALLA SANTHOSH KUMAR","UPPUGALLA SANTOSH KUMAR","Telangana","Rangareddy","View        registration details for AGRA NETHA (TELTEL/2015/66279)"
"36","AGRAGAMI","37837","12-10-1981","Telugu","Weekly","KANNA PARUSHU RAMULU","KANNA PARUSHU RAMULU","Telangana","Warangal","View        registration details for AGRAGAMI (37837)"
"37","AHEM ITELLA","61410","25-01-1991","Urdu","Fortnightly","SYED OSMAN RASHEED","SYED OSMAN RASHEED","Telangana","Hyderabad","View        registration details for AHEM ITELLA (61410)"
"38","AHEM ITELLA","TELURD/2006/16495","05-01-2006","Urdu","Daily","SYED OSMAN RASHEED","SYED OSMAN RASHEED","Telangana","Hyderabad","View        registration details for AHEM ITELLA (TELURD/2006/16495)"
"39","AHMED TIMES","70917","20-02-1999","English, Urdu","Monthly","ANWAR ALI KHAN","ANWAR ALI KHAN","Telangana","Hyderabad","View        registration details for AHMED TIMES (70917)"
"40","AHMIYATH","TELURD/2008/56108","04-07-2014","Urdu","Daily","MD. IMRAN","MD. IMRAN","Telangana","Karimnagar","View        registration details for AHMIYATH (TELURD/2008/56108)"
"41","AIENA","37876","06-12-1981","Urdu","Weekly","AHMED MUKESH","NA","Telangana","Hyderabad","View        registration details for AIENA (37876)"
"42","AIENA E CHASHM","44821","07-06-1985","Urdu","Weekly","AHMED MUKESH","AHMED MUKESH","Telangana","Hyderabad","View        registration details for AIENA E CHASHM (44821)"
"43","AIFRUCTA NEWS","TELENG/2015/66657","07-04-2016","English","Bimonthly (Once in two months)","K. TIRUVENKATACHARYULU","ALL INDIA FEDERATION OF RETIRED UNIVERSITY AND COLLEGE TEACHERS ASSOCIATIONS","Telangana","Hyderabad","View        registration details for AIFRUCTA NEWS (TELENG/2015/66657)"
"44","AIKYAUPADHYAYA","25433","10-10-1974","Telugu","Monthly","A. VENKATA SWAMY","A.P. UNITED TEACHERS FEDERATION","Telangana","Hyderabad","View        registration details for AIKYAUPADHYAYA (25433)"
"45","AINA E HYDERABAD","37875","16-12-1982","Urdu","Daily","MOHD. KALEEMUDDIN","MOHD. KALEEMUDDIN","Telangana","Hyderabad","View        registration details for AINA E HYDERABAD (37875)"
"46","AINA E NIZAMABAD","TELURD/2020/78818","10-07-2020","Urdu","Daily","HUMERA MEHENAZ MAZHAR","HUMERA MEHENAZ MAZHAR","Telangana","Nizamabad","View        registration details for AINA E NIZAMABAD (TELURD/2020/78818)"
"47","AINA-E-HYDERABAD","38993","05-07-1982","Urdu","Weekly","MOHD. KALEEMUDDIN","MOHD. KALEEMUDDIN","Telangana","Hyderabad","View        registration details for AINA-E-HYDERABAD (38993)"
"48","AJAATHA SHTRU","TGBIL/26/A0173","01-01-2026","Telugu, English","Daily","Adulapuram Ravindra prasad","Adulapuram Ravindra prasad","Telangana","Siddipet","View        registration details for AJAATHA SHTRU (TGBIL/26/A0173)"
"49","AKASH JYOTI","TELHIN/2000/04452","27-06-2001","Hindi","Daily","V. BUCHI BABU","V.BUCHI BABU","Telangana","Hyderabad","View        registration details for AKASH JYOTI (TELHIN/2000/04452)"
"50","AKBHAR-E-DECCAN","TELURD/2021/89283","30-09-2024","URDU","Daily","HAJI ABDUL KAREEM","HAJI ABDUL KAREEM","Telangana","Hyderabad","View        registration details for AKBHAR-E-DECCAN (TELURD/2021/89283)"
"51","AKHANDA BHOOMI","TGTEL/25/A3217","14-10-2025","Telugu","Daily","MASAPOGU ESWARAIAH","MASAPOGU ESWARAIAH","Telangana","Rangareddy","View        registration details for AKHANDA BHOOMI (TGTEL/25/A3217)"
"52","AKHANDA HINDHUSTHAN","TGTEL/26/A2877","29-04-2026","Telugu","Daily","SRINIVAS RAO HAZARI","SRINIVAS RAO HAZARI","Telangana","Rangareddy","View        registration details for AKHANDA HINDHUSTHAN (TGTEL/26/A2877)"
"53","AKHANDAA SURYAA","TGTEL/25/A1809","11-07-2025","Telugu","Daily","PETTA VENKATA SURYANARAYANA","PETTA VENKATA SURYANARAYANA","Telangana","Medchal Malkajgiri","View        registration details for AKHANDAA SURYAA (TGTEL/25/A1809)"
"54","AKSHARA ANVESHANA","TELTEL/2018/75218","14-05-2018","Telugu","Daily","POTTUMUTHU ASHOK KUMAR","POTTUMUTHU ASHOK KUMAR","Telangana","Nalgonda","View        registration details for AKSHARA ANVESHANA (TELTEL/2018/75218)"
"55","AKSHARA DHARBHAR","TELTEL/2022/81915","23-08-2022","Telugu","Daily","VEMULA RAJESHWER RAO","VEMULA RAJESHWER RAO","Telangana","Warangal","View        registration details for AKSHARA DHARBHAR (TELTEL/2022/81915)"
"56","AKSHARA DIKSHA","TELTEL/2013/49472","02-05-2013","Telugu","Monthly","POTHUGANTI VENKATA RAMANA","POTHUGANTI VENKATA RAMANA","Telangana","Nalgonda","View        registration details for AKSHARA DIKSHA (TELTEL/2013/49472)"
"57","AKSHARA DIKSUCHI","TELTEL/2023/88249","02-08-2024","TELUGU","Daily","VELLENKI JAYAPAL REDDY","VELLENKI JAYAPAL REDDY","Telangana","Medchal Malkajgiri","View        registration details for AKSHARA DIKSUCHI (TELTEL/2023/88249)"
"58","AKSHARA GALAM","TELTEL/2022/83927","25-04-2023","Telugu","Daily","G KALPANA","G KALPANA","Telangana","Medchal Malkajgiri","View        registration details for AKSHARA GALAM (TELTEL/2022/83927)"
"59","AKSHARA GAMANAM","TELTEL/2022/82554","25-10-2022","Telugu","Daily","BIRU KUMARASWAMY","BIRRU KUMARASWAMY","Telangana","Warangal","View        registration details for AKSHARA GAMANAM (TELTEL/2022/82554)"
"60","AKSHARA KAVACHAM","TELTEL/2015/62349","01-06-2015","Telugu","Daily","KOTHA UMA MAHESHWARA RAO","KOTHA UMA MAHESHWAR RAO","Telangana","Telangana","View        registration details for AKSHARA KAVACHAM (TELTEL/2015/62349)"
"61","AKSHARA KSHETHRAM","TELTEL/2012/47436","10-01-2013","Telugu","Daily","GUDIPATI SRINIVASULU","GUDIPATI SRINIVASULU","Telangana","Nalgonda","View        registration details for AKSHARA KSHETHRAM (TELTEL/2012/47436)"
"62","AKSHARA MEDHA","TELTEL/2020/79565","24-02-2021","Telugu","Monthly","M.SUREKHA","MACHAGONI SRINIVAS","Telangana","Vikarabad","View        registration details for AKSHARA MEDHA (TELTEL/2020/79565)"
"63","AKSHARA NAANDI","TELTEL/2023/87663","26-06-2024","TELUGU","Daily","ADEVELLY SOMAIAH","ADEVELLY SOMAIAH","Telangana","","View        registration details for AKSHARA NAANDI (TELTEL/2023/87663)"
"64","AKSHARA NESTAM","TELTEL/2022/83462","28-02-2023","Telugu","Daily","SRINIVAS THIPIRISETTY","SRINIVAS THIPIRISETTY","Telangana","Warangal","View        registration details for AKSHARA NESTAM (TELTEL/2022/83462)"
"65","AKSHARA NIDHI","TELTEL/2023/87916","22-07-2024","TELUGU","Daily","KONDAVEETI SHYAM PRASAD","KONDAVEETI SHYAM PRASAD","Telangana","","View        registration details for AKSHARA NIDHI (TELTEL/2023/87916)"
"66","AKSHARA RAJAAMUDHRA","TELTEL/2024/86684","27-03-2024","Telugu","Daily","RAVU RAJITHA","RAVU RAJITHA","Telangana","Medchal Malkajgiri","View        registration details for AKSHARA RAJAAMUDHRA (TELTEL/2024/86684)"
"67","AKSHARA REKHA","TELTEL/2012/44706","13-08-2012","Telugu","Daily","V. SAI KRISHNA REDDY","V. SAI KRISHNA REDDY","Telangana","Adilabad","View        registration details for AKSHARA REKHA (TELTEL/2012/44706)"
"68","AKSHARA SAAVAL","TELTEL/2023/84132","03-05-2023","Telugu","Daily","BADAVATH BALAJI","BADAVATH BALAJI","Telangana","Warangal","View        registration details for AKSHARA SAAVAL (TELTEL/2023/84132)"
"69","AKSHARA SHAKTHI","APTEL/2006/18255","05-01-2007","Telugu","Weekly","B.V. RANI","B.V. RANI","Telangana","Karimnagar","View        registration details for AKSHARA SHAKTHI (APTEL/2006/18255)"
"70","AKSHARA SODHANA","TELTEL/2023/88216","29-07-2024","TELUGU","Daily","RAVU RAJITHA","RAVU RAJITHA","Telangana","","View        registration details for AKSHARA SODHANA (TELTEL/2023/88216)"
"71","AKSHARA SUBHASHITHAM","TELTEL/2015/60246","16-02-2015","Telugu","Monthly","SUBHASH REDDY.A","SUBHASH REDDY.A","Telangana","Nalgonda","View        registration details for AKSHARA SUBHASHITHAM (TELTEL/2015/60246)"
"72","AKSHARA SUBHASHITHAM","TELTEL/2015/66324","03-03-2016","Telugu","Daily","SUBHASH REDDY.A","SUBHASH REDDY.A","Telangana","Nalgonda","View        registration details for AKSHARA SUBHASHITHAM (TELTEL/2015/66324)"
"73","AKSHARA TODAY","TELTEL/2015/62326","01-06-2015","Telugu","Daily","KOUCHIKA ALEKHYA","KOUCHIKA ALEKHYA","Telangana","Nalgonda","View        registration details for AKSHARA TODAY (TELTEL/2015/62326)"
"74","AKSHARA TODAY","TELTEL/2015/64160","16-04-2026","Telugu","Daily","KOUCHIKA ALEKHYA","KOUCHIKA ALEKHYA","Telangana","Rangareddy","View        registration details for AKSHARA TODAY (TELTEL/2015/64160)"
"75","AKSHARA VAARTHA","TELTEL/2011/47101","18-12-2012","Telugu","Daily","T. SRINIVAS","T. SRINIVAS","Telangana","Karimnagar","View        registration details for AKSHARA VAARTHA (TELTEL/2011/47101)"
"76","AKSHARA VEEKSHANA","TELTEL/2020/81091","03-02-2022","Telugu","Daily","VULLOJI VENKATARAMANA","VULLOJI VENKATARAMANA","Telangana","Khammam","View        registration details for AKSHARA VEEKSHANA (TELTEL/2020/81091)"
"77","AKSHARA VELUGU","TELTEL/2022/83798","17-04-2023","Telugu","Daily","GOSUKONDA PRUDHVIRAJU","GOSUKONDA PRUDHVIRAJU","Telangana","Nalgonda","View        registration details for AKSHARA VELUGU (TELTEL/2022/83798)"
"78","AKSHARA VIDHANAM","TGTEL/25/A0308","21-05-2025","Telugu","Daily","JADALA LAXMI KAVITHA","JADALA LAXMI KAVITHA","Telangana","Warangal","View        registration details for AKSHARA VIDHANAM (TGTEL/25/A0308)"
"79","AKSHARA VIJETHA","TELTEL/2021/81079","19-01-2022","Telugu","Daily","BANAVATH ANIL KUMAR","BANAVATH ANIL KUMAR","Telangana","Siddipet","View        registration details for AKSHARA VIJETHA (TELTEL/2021/81079)"
"80","AKSHARA VRUKSHAM","TELTEL/2019/77874","19-08-2019","Telugu","Monthly","RAJESH ALLAM","RAJESH ALLAM","Telangana","Telangana","View        registration details for AKSHARA VRUKSHAM (TELTEL/2019/77874)"
"81","AKSHARA YUDDHAM","TELTEL/2011/37855","15-06-2011","Telugu","Daily","PAPPULA JOSEPH","PAPPULA JOSEPH","Telangana","Mahbubnagar","View        registration details for AKSHARA YUDDHAM (TELTEL/2011/37855)"
"82","AKSHARA YUDDHAM","TELTEL/2015/61934","14-05-2015","Telugu","Daily","PAPPULA JOSEPH","PAPPULA JOSEPH","Telangana","Rangareddy","View        registration details for AKSHARA YUDDHAM (TELTEL/2015/61934)"
"83","AKSHARAJWAALA","TGTEL/25/A0120","21-04-2025","Telugu","Daily","VADAPALLY RAJINI","VADAPALLY RAJINI","Telangana","Warangal","View        registration details for AKSHARAJWAALA (TGTEL/25/A0120)"
"84","AKSHARANJALI","TELTEL/2009/30778","02-02-2010","Telugu","Monthly","PVM PAVAN","PVM PAVAN","Telangana","Wanaparthy","View        registration details for AKSHARANJALI (TELTEL/2009/30778)"
"85","AKSHARAPALLAVI","TGTEL/25/A0679","29-05-2025","Telugu","Daily","SAMPATH GANGA","PALLAVI MEDIA PRIVATE LIMITED","Telangana","Hyderabad","View        registration details for AKSHARAPALLAVI (TGTEL/25/A0679)"
"86","AKSHARAVEDAM","TELTEL/2012/46567","26-11-2012","TELUGU","Monthly","PANDILLA RAVINDER","PANDILLA RAVINDER","Telangana","Karimnagar","View        registration details for AKSHARAVEDAM (TELTEL/2012/46567)"
"87","Aksharavekuva Varthalu Vikasam  Viswasam","TGTEL/25/A4430","28-11-2025","Telugu","Daily","THANGALLAPALLY ARUN KUMAR","THANGALLAPALLY ARUN KUMAR","Telangana","Mancherial","View        registration details for Aksharavekuva Varthalu Vikasam  Viswasam (TGTEL/25/A4430)"
"88","AKSHRA NETRAM","TELTEL/2009/29185","08-10-2009","Telugu","Fortnightly","K. SUKUMAR","K.SUKUMAR","Telangana","Mahbubnagar","View        registration details for AKSHRA NETRAM (TELTEL/2009/29185)"
"89","AL FAISAL","45029","12-08-1986","Urdu","Monthly","MOHD HASHIM AL-QASIMI","MOHD HASHIM AL-QASIMI","Telangana","Hyderabad","View        registration details for AL FAISAL (45029)"
"90","AL FIDA","64717","08-07-1996","Urdu","Fortnightly","RAHMATH ANJUM","SMT.RAHMAT ANJUM","Telangana","Hyderabad","View        registration details for AL FIDA (64717)"
"91","AL HIRA","APBIL/2006/16390","27-10-2005","English","Fortnightly","DR. SYED JAHANGIR","DR. SYED JAHANGIR","Telangana","Hyderabad","View        registration details for AL HIRA (APBIL/2006/16390)"
"92","AL ISLAAH KARIMNAGAR","TELBIL/2018/77301","02-05-2019","English, Urdu","Monthly","MOHD OMAR FAROOQ","MOHD OMAR FAROOQ","Telangana","Karimnagar","View        registration details for AL ISLAAH KARIMNAGAR (TELBIL/2018/77301)"
"93","AL WATAN","TELURD/2019/78130","04-11-2019","Urdu","Daily","SYED KHAJA BAHAUDDIN SHABBIR NAQSHBANDI","S K B SHABBIR NAQSHBANDI","Telangana","Hyderabad","View        registration details for AL WATAN (TELURD/2019/78130)"
"94","ALA","TGENG/25/A5441","31-12-2025","English","Daily","Bongu Venu Gopala Rao","Bongu Venu Gopala Rao","Telangana","Hyderabad","View        registration details for ALA (TGENG/25/A5441)"
"95","ALA.","APTEL/2006/18287","05-01-2007","Telugu","Daily","BONGU VENU GOPALA RAO","BONGU VENU GOPALA RAO","Telangana","Hyderabad","View        registration details for ALA. (APTEL/2006/18287)"
"96","ALA.","APTEL/2003/09586","29-01-2003","Telugu","Monthly","B.VENU GOPALA RAO","B.VENU GOPALA RAO","Telangana","Hyderabad","View        registration details for ALA. (APTEL/2003/09586)"
"97","ALAM-E-IMROZ","64673","13-10-1995","Urdu","Weekly","SULTANA BANU","SULTANA BANU","Telangana","Hyderabad","View        registration details for ALAM-E-IMROZ (64673)"
"98","ALAMGIR","10759","16-09-1965","Urdu","Weekly","MOHD. ABDUL RAHIM (FARYADI)","MOHD ABDUL RAHIM (FARYADI)","Telangana","Hyderabad","View        registration details for ALAMGIR (10759)"
"99","ALI SAMACHAR","TELURD/2015/65355","28-12-2015","Urdu","Fortnightly","MOHD. IMRAN","MOHD.IMRAN","Telangana","Nalgonda","View        registration details for ALI SAMACHAR (TELURD/2015/65355)"
"100","ALL INDIA LAW DIGEST","APENG/2000/02580","21-07-2000","English","Monthly","WASIM AHMED","WASIM AHMED","Telangana","Hyderabad","View        registration details for ALL INDIA LAW DIGEST (APENG/2000/02580)"
"101","ALMADINATUL MUNAWARA","37944","20-02-1984","Urdu","Weekly","AKBAR ALI","AKBAR ALI","Telangana","Hyderabad","View        registration details for ALMADINATUL MUNAWARA (37944)"
"102","ALT (CRIMINAL)","APENG/1999/00304","17-08-1998","English","Monthly","L.D.GOGIA","ANDHRA LAW TIMES","Telangana","Hyderabad","View        registration details for ALT (CRIMINAL) (APENG/1999/00304)"
"103","AMARAVATHI MIRROR","TELENG/2016/71517","01-05-2017","English","Daily","MUDUGANTI PRAVALIKA","MUDUGANTI PRAVALIKA","Telangana","Karimnagar","View        registration details for AMARAVATHI MIRROR (TELENG/2016/71517)"
"104","AMARAVATHI REVIEW","TELENG/2016/66730","18-04-2016","English","Monthly","SUNIL KUMAR MURALASETTY","SUNIL KUMAR MURALASETTY","Telangana","Hyderabad","View        registration details for AMARAVATHI REVIEW (TELENG/2016/66730)"
"105","AMAZING TELANGANA","TGTEL/25/A2263","22-08-2025","Telugu","Daily","Podishetti Ramesh Kumar","Podishetti Ramesh Kumar","Telangana","Medchal Malkajgiri","View        registration details for AMAZING TELANGANA (TGTEL/25/A2263)"
"106","AMAZING TELANGANA","TELMUL/2017/71745","19-05-2017","English, Telugu, Hindi","Monthly","RAMESH KUMAR PODISHETTI","RAMESH KUMAR PODISHETTI","Telangana","Hyderabad","View        registration details for AMAZING TELANGANA (TELMUL/2017/71745)"
"107","AMODAM","TELTEL/2020/87237","09-05-2024","Telugu","Daily","PERIKA KRISHNAIAH","PERIKA KRISHNAIAH","Telangana","Rangareddy","View        registration details for AMODAM (TELTEL/2020/87237)"
"108","AMODAM","TELTEL/2015/64369","19-10-2015","Telugu","Monthly","PERIKA KRISHNAIAH","PERIKA KRISHNAIAH","Telangana","Rangareddy","View        registration details for AMODAM (TELTEL/2015/64369)"
"109","AMRAVATI KI AWAZ","TELURD/2017/72736","25-07-2017","Urdu","Daily","FAZALULLA KHAN","FAZALULLA KHAN","Telangana","Mumbai","View        registration details for AMRAVATI KI AWAZ (TELURD/2017/72736)"
"110","AMRUTH TALANGANA","TGTEL/25/A1907","23-07-2025","Telugu","Daily","Singidi Amruth","Singidi Amruth","Telangana","Adilabad","View        registration details for AMRUTH TALANGANA (TGTEL/25/A1907)"
"111","ANALYSIS SOORYANETRA","APTEL/2006/17229","05-09-2006","Telugu","Quarterly","BANDLA SURYANARAYANA","BANDLA SURYANARAYANA","Telangana","Warangal","View        registration details for ANALYSIS SOORYANETRA (APTEL/2006/17229)"
"112","ANDARI DAIVAM OKKADE","52763","13-09-1991","English","Quarterly","D. V. RAYDU","SAI KUMAR VYADHI NIVARANA ASHRAM","Telangana","Hyderabad","View        registration details for ANDARI DAIVAM OKKADE (52763)"
"113","ANDARIKI AYURVEDAM","66521","13-03-2018","Telugu","Monthly","ELCHURI VENKAT RAO","ELCHURI VENKAT RAO","Telangana","Hyderabad","View        registration details for ANDARIKI AYURVEDAM (66521)"
"114","ANDHRA BHOOMI","5595","30-09-1960","Telugu","Daily","T. VENKATESWARLU","DECCAN CHRONICLE HOLDINGS LTD.","Telangana","Hyderabad","View        registration details for ANDHRA BHOOMI (5595)"
"115","ANDHRA BHOOMI","APTEL/2001/04767","20-04-2001","Telugu","Daily","MR K SUDHAKAR","DECCAN CHRONICLE HOLDINGS LTD","Telangana","Karimnagar","View        registration details for ANDHRA BHOOMI (APTEL/2001/04767)"
"116","ANDHRA BHOOMI SACHITRA MASA PATRIKA","32317","25-02-1994","Telugu","Monthly","T. VENKATESWARLU","DECCAN CHRONICLE HOLDINGS LTD","Telangana","Hyderabad","View        registration details for ANDHRA BHOOMI SACHITRA MASA PATRIKA (32317)"
"117","ANDHRA JANATA","3261","15-05-1955","Telugu","Daily","SEETA YUDHVIR","JANTHA TRUST","Telangana","Hyderabad","View        registration details for ANDHRA JANATA (3261)"
"118","ANDHRA JYOTHI","APTEL/2004/12975","28-06-2004","Telugu","Daily","KOGANTI VENKATA SESHAGIRI RAO","AAMODA PUBLICATIONS PVT. LTD.","Telangana","Nizamabad","View        registration details for ANDHRA JYOTHI (APTEL/2004/12975)"
"119","ANDHRA JYOTHI","APTEL/2003/09741","15-03-2003","Telugu","Daily","KOGANTI VENKATA SESHAGIRI RAO","AAMODA PUBLICATIONS PVT. LTD.","Telangana","Warangal","View        registration details for ANDHRA JYOTHI (APTEL/2003/09741)"
