"SN.","Title","Registration Number","Registration Date","Language","Periodicity","Publisher","Owner","Publication State","Publication District","Action"
"1049","GODAVARI VOICE","APTEL/2017/71152","10-04-2017","Telugu","Daily","NARASIMHAM TALASILA","NARASIMHAM TALASILA","Andhra Pradesh","West Godavari","View        registration details for GODAVARI VOICE (APTEL/2017/71152)"
"1050","GOKUL JYOTHI","APTEL/2013/51187","29-07-2013","Telugu","Monthly","EAGALA LAXMI NARAYANA","EAGALA LAXMI NARAYANA","Andhra Pradesh","East Godavari","View        registration details for GOKUL JYOTHI (APTEL/2013/51187)"
"1051","GOLDEN I NEWS","APTEL/2011/45208","11-09-2012","Telugu","Daily","SYED NASEER","SYED NASEER","Andhra Pradesh","Sri Potti Sriramulu Nellore","View        registration details for GOLDEN I NEWS (APTEL/2011/45208)"
"1052","GONGADI","APTEL/2012/46581","22-11-2012","Telugu","Monthly","G. SRINIVAS YADAV","G.SRINIVAS YADAV","Andhra Pradesh","Hyderabad","View        registration details for GONGADI (APTEL/2012/46581)"
"1053","GOOD MORNING ANDHRA","APENG/2015/60453","26-02-2015","English","Daily","DAVULURI HANUMANHTA RAO","DAVULURI HANUMAHTA RAO","Andhra Pradesh","Guntur","View        registration details for GOOD MORNING ANDHRA (APENG/2015/60453)"
"1054","GOOD MORNING ANDHRA","APENG/2015/63292","15-07-2015","English","Daily","DAVULURI HANUMANTHA RAO","DAVULURI HANUMANTHA RAO","Andhra Pradesh","Guntur","View        registration details for GOOD MORNING ANDHRA (APENG/2015/63292)"
"1055","GOOD MORNING ANDHRA","APENG/2010/33153","02-08-2010","English","Daily","D.HANUMANTHA RAO","DAVULURI HANUMANTHA RAO","Andhra Pradesh","Hyderabad","View        registration details for GOOD MORNING ANDHRA (APENG/2010/33153)"
"1056","GOOD MORNING ANDHRA","APENG/2015/63215","13-07-2015","English","Daily","DAVULURI HANUMANTHA RAO","DAVULURI HANUMANTHA RAO","Andhra Pradesh","Andhra Pradesh","View        registration details for GOOD MORNING ANDHRA (APENG/2015/63215)"
"1057","GOOD MORNING ANDHRA","APENG/2014/61935","14-05-2015","English","Daily","D. HANUMANTHA RAO","DAVULURI HANUMANTHA RAO","Andhra Pradesh","Kurnool","View        registration details for GOOD MORNING ANDHRA (APENG/2014/61935)"
"1058","GOOD NEWS","APTEL/2013/54347","31-01-2014","Telugu","Monthly","DUBA RATNA KUMAR","DUBA RATNA KUMAR","Andhra Pradesh","Visakhapatnam","View        registration details for GOOD NEWS (APTEL/2013/54347)"
"1059","GOODS AND SERVICE TAX TODAY","APTEL/2009/29895","30-11-2009","Telugu","Monthly","K. MITHUN CHAKRAVARTHY","K. MITHUNCHAKRAVARTHY","Andhra Pradesh","Rangareddy","View        registration details for GOODS AND SERVICE TAX TODAY (APTEL/2009/29895)"
"1060","GOODS AND SERVICE TAX TODAY","APENG/2012/44661","09-08-2012","English","Daily","K.MITHUN CHAKRAVARTHI","K.MITHUNCHAKRAVARTHY","Andhra Pradesh","Rangareddy","View        registration details for GOODS AND SERVICE TAX TODAY (APENG/2012/44661)"
"1061","GOODS AND SERVICE TAX TODAY","APTEL/2010/35127","31-12-2010","Telugu","Daily","K.MITHUAN CHAKRAVARTHY","K. MITHUNCHAKRAVARTHY","Andhra Pradesh","Rangareddy","View        registration details for GOODS AND SERVICE TAX TODAY (APTEL/2010/35127)"
"1062","GOODS AND SERVICES TAX TODAY","APENG/2012/45637","08-10-2012","English","Monthly","K. MITHUN CHAKRAVARTHI","MITHUNCHAKRAVARTHY","Andhra Pradesh","Rangareddy","View        registration details for GOODS AND SERVICES TAX TODAY (APENG/2012/45637)"
"1063","GOOTY DURGAM","APTEL/2018/75534","15-06-2018","Telugu","Daily","THANNIRU SREENIVASULU","THANNIRU SREENIVASULU","Andhra Pradesh","Anantapur","View        registration details for GOOTY DURGAM (APTEL/2018/75534)"
"1064","GOOTY PARIPALANA","APTEL/2016/72322","19-06-2017","Telugu","Monthly","NALBANDU MOHAMMAD RAFIQ","NALBANDU MOHAMMAD RAFIQ","Andhra Pradesh","Anantapur","View        registration details for GOOTY PARIPALANA (APTEL/2016/72322)"
"1065","GOOTY PRABHA","APTEL/2018/75412","05-06-2018","Telugu","Monthly","VURUMALA PURNACHANDRA RAO","VURUMALA PURNACHANDRA RAO","Andhra Pradesh","Anantapur","View        registration details for GOOTY PRABHA (APTEL/2018/75412)"
"1066","GOOTY SAMACHAR","APTEL/2016/70468","13-02-2017","Telugu","Monthly","ACHUKATLA KHADAR BASHA","ACHUKATLA KHADAR BASHA","Andhra Pradesh","Anantapur","View        registration details for GOOTY SAMACHAR (APTEL/2016/70468)"
"1067","GOPI KRISHNA","44957","01-01-1986","Telugu","Daily","D.V.RAMANA","DRONAM RAJU VENKATA RAMANA","Andhra Pradesh","Eluru","View        registration details for GOPI KRISHNA (44957)"
"1068","GOPI KRISHNA","32183","","Telugu","Weekly","D.V. SUBBARAO","D.V. SUBBARAO","Andhra Pradesh","West Godavari","View        registration details for GOPI KRISHNA (32183)"
"1069","GOPI KRISHNA","APTEL/2007/25003","31-07-2008","Telugu","Daily","D. VENKATA RAMANA","D.V.RAMANA","Andhra Pradesh","Visakhapatnam","View        registration details for GOPI KRISHNA (APTEL/2007/25003)"
"1070","GORINTA AAKU","APTEL/2024/89274","30-09-2024","TELUGU","Monthly","SHAIK HASINA","SHAIK HASINA","Andhra Pradesh","Guntur","View        registration details for GORINTA AAKU (APTEL/2024/89274)"
"1071","GOSHTHI","3257","16-06-1954","English","Monthly","G V SUBHA RAO","G.V. SUBBA RAO","Andhra Pradesh","East Godavari","View        registration details for GOSHTHI (3257)"
"1072","GOUDA SAMACHAR","APTEL/2009/29475","05-11-2009","Telugu","Monthly","B. KRISHNA KUMARI","B. KRISHNA KUMARI","Andhra Pradesh","Hyderabad","View        registration details for GOUDA SAMACHAR (APTEL/2009/29475)"
"1073","GOUDA VAKKU","APTEL/2010/31850","07-04-2010","Telugu","Monthly","K. VEENA GOUD","K. VEENA GOUD","Andhra Pradesh","Rangareddy","View        registration details for GOUDA VAKKU (APTEL/2010/31850)"
"1074","GOVERNOR","37969","30-04-1984","Telugu","Fortnightly","SARVEPALLI SUBBA RAO","SARVEPALLI SUBBA RAO","Andhra Pradesh","Sri Potti Sriramulu Nellore","View        registration details for GOVERNOR (37969)"
"1075","GOVINDA PRIYA","APTEL/2011/46137","31-10-2012","Telugu","Monthly","NARAYAN PRASAD  ASAWA","SRI BHASYAKARA SIDDHANTHA PEETHAM,","Andhra Pradesh","West Godavari","View        registration details for GOVINDA PRIYA (APTEL/2011/46137)"
"1076","GOWDA PRABHA","37751","28-02-1980","Telugu","Monthly","ANNAM SATYANARAYANA","ANNAM SATYANARAYANA","Andhra Pradesh","Prakasam","View        registration details for GOWDA PRABHA (37751)"
"1077","GOWDA SAKTHI","APTEL/2016/72346","20-06-2017","Telugu","Monthly","ARAPALLI RADHARANI","ARAPALLI RADHANRANI","Andhra Pradesh","Visakhapatnam","View        registration details for GOWDA SAKTHI (APTEL/2016/72346)"
"1078","GOWTHAMI GAYATHRI","APTEL/2014/58380","18-11-2014","Telugu","Monthly","M. VISWANATHA RAO","M. VISWANATHA RAO","Andhra Pradesh","Anantapur","View        registration details for GOWTHAMI GAYATHRI (APTEL/2014/58380)"
"1079","GRAMA DARSHINI","APTEL/2012/48083","15-02-2013","Telugu","Daily","P. KUMARI","P. KUMARI","Andhra Pradesh","Visakhapatnam","View        registration details for GRAMA DARSHINI (APTEL/2012/48083)"
"1080","GRAMA DARSHINI","APTEL/2015/62430","04-06-2015","Telugu","Daily","P. KUMARI","P. KUMARI","Andhra Pradesh","Vizianagaram","View        registration details for GRAMA DARSHINI (APTEL/2015/62430)"
"1081","GRAMA NIVEDHIKA","APTEL/2015/65124","04-12-2015","Telugu","Weekly","BUSIM Y V SATYANARAYANA","Y. V. SATYANARAYANA","Andhra Pradesh","East Godavari","View        registration details for GRAMA NIVEDHIKA (APTEL/2015/65124)"
"1082","GRAMA SARPANCH","APTEL/2012/48024","12-02-2013","Telugu","Fortnightly","YALAMANCHILI VENKATA BABU RAJENDRA PRASAD","YALAMANCHILI VENKATA BABU RAJENDRA PRASAD","Andhra Pradesh","Krishna","View        registration details for GRAMA SARPANCH (APTEL/2012/48024)"
"1083","GRAMABHAVITA","APTEL/2011/38249","13-07-2011","Telugu","Daily","MOHD RAUOOF","MOHD RAUOOF","Andhra Pradesh","Hyderabad","View        registration details for GRAMABHAVITA (APTEL/2011/38249)"
"1084","GRAMEENA AADARANA","APTEL/2013/48228","21-02-2013","Telugu","Monthly","P. SREENIVASULU","P. SREENIVASULU","Andhra Pradesh","Chittoor","View        registration details for GRAMEENA AADARANA (APTEL/2013/48228)"
"1085","GRAMEENA JANA JEEVANA TEJAM GODAVARI","APTEL/2003/13605","18-11-2003","Telugu","Daily","B SATISH BABU","BOLLA SATISH BABU","Andhra Pradesh","East Godavari","View        registration details for GRAMEENA JANA JEEVANA TEJAM GODAVARI (APTEL/2003/13605)"
"1086","GRAMEENA JANA JEEVANA TEJAM GODAVARI","APTEL/2016/70679","06-03-2017","Telugu","Daily","BOLLA SATISH BABU","BOLLA SATISH BABU","Andhra Pradesh","Krishna","View        registration details for GRAMEENA JANA JEEVANA TEJAM GODAVARI (APTEL/2016/70679)"
"1087","GRAMEENA JANA JEEVANA TEJAM GODAVARI","APTEL/25/A2830","23-09-2025","Telugu","Daily","BOLLA SATISH BABU","BOLLA SATISH BABU","Andhra Pradesh","Chittoor","View        registration details for GRAMEENA JANA JEEVANA TEJAM GODAVARI (APTEL/25/A2830)"
"1088","GRAMEENA JANA JEEVANA TEJAM GODAVARI","APTEL/25/A3129","10-10-2025","Telugu","Daily","BOLLA SATISH BABU","BOLLA SATISH BABU","Andhra Pradesh","Y.S.R.","View        registration details for GRAMEENA JANA JEEVANA TEJAM GODAVARI (APTEL/25/A3129)"
"1089","GRAMEENA JANA JEEVANA TEJAM GODAVARI","APTEL/2009/28876","01-09-2009","Telugu","Daily","BOLLA SATISH BABU","BOLLA SATISH BABU","Andhra Pradesh","Visakhapatnam","View        registration details for GRAMEENA JANA JEEVANA TEJAM GODAVARI (APTEL/2009/28876)"
"1090","GRAMEENA RAKSHANA","APTEL/2010/35103","28-12-2010","Telugu","Monthly","M. RAJU","M. RAJU","Andhra Pradesh","Nizamabad","View        registration details for GRAMEENA RAKSHANA (APTEL/2010/35103)"
"1091","GRAMEENI","APTEL/2004/16363","03-03-2004","Telugu","Monthly","MARE JOSEPH SAMUEL","MARE JOSEPH SAMUEL","Andhra Pradesh","East Godavari","View        registration details for GRAMEENI (APTEL/2004/16363)"
"1092","GRAMINA VEDIKA","52723","10-08-1990","Telugu","Daily","M.A. RAWOOF","M.A. RAWOOF","Andhra Pradesh","Vizianagaram","View        registration details for GRAMINA VEDIKA (52723)"
"1093","GRAND INDIA","APENG/2009/37992","22-06-2011","English","Daily","TOKALA RAJESH BABU","TOKALA RAJESH BABU","Andhra Pradesh","West Godavari","View        registration details for GRAND INDIA (APENG/2009/37992)"
"1094","GRAND RAJADHANI","APTEL/2015/64541","05-11-2015","Telugu","Daily","GUNDA SATHISH KUMAR","GUNDA SATHISH KUMAR","Andhra Pradesh","West Godavari","View        registration details for GRAND RAJADHANI (APTEL/2015/64541)"
"1095","GREAT AMRAVATHI","APTEL/2016/68256","10-08-2016","Telugu","Monthly","MERUGUMUVVALA SRINIVASA RAO","MERUGUMUVVALA SRINIVASA RAO","Andhra Pradesh","West Godavari","View        registration details for GREAT AMRAVATHI (APTEL/2016/68256)"
"1096","GREAT GAME INDIA","APENG/2015/70684","06-03-2017","English","Quarterly","SHELLEY KASLI","G. RAJA SEKHAR","Andhra Pradesh","Anantapur","View        registration details for GREAT GAME INDIA (APENG/2015/70684)"
"1097","GREAT WORLD","APENG/2015/63378","22-07-2015","English","Daily","THOKALA RAJESH BABU","TOKALA RAJESH BABU","Andhra Pradesh","West Godavari","View        registration details for GREAT WORLD (APENG/2015/63378)"
"1098","Greater andhra Samagra Vartha Darshini","APTEL/26/A1636","18-03-2026","Telugu","Weekly","Budha madhu nagendra vara prasad","Budha madhu nagendra vara prasad","Andhra Pradesh","Visakhapatnam","View        registration details for Greater andhra Samagra Vartha Darshini (APTEL/26/A1636)"
"1099","GREATER CITY","APTEL/2010/34188","01-11-2010","Telugu","Daily","A. VENAMMA","A VENAMMA","Andhra Pradesh","Visakhapatnam","View        registration details for GREATER CITY (APTEL/2010/34188)"
"1100","GREATER JOURNALIST FOCUS","APTEL/2018/75736","20-07-2018","Telugu","Weekly","PEESA SRINIVASA RAO","PEESA SRINIVASA RAO","Andhra Pradesh","Visakhapatnam","View        registration details for GREATER JOURNALIST FOCUS (APTEL/2018/75736)"
"1101","GREATER NAVYANDHRA","APTEL/2016/73193","06-09-2017","Telugu","Monthly","SIRIPILLI SURESH KUMAR","SIRIPILLI SURESH KUMAR","Andhra Pradesh","Visakhapatnam","View        registration details for GREATER NAVYANDHRA (APTEL/2016/73193)"
"1102","GREATER NELLORE","APTEL/2016/68879","04-10-2016","Telugu","Fortnightly","GUNDALA PRATAP REDDY","G. PRATAP REDDY","Andhra Pradesh","Sri Potti Sriramulu Nellore","View        registration details for GREATER NELLORE (APTEL/2016/68879)"
"1103","GREATER NEWS","APTEL/2009/28304","06-07-2009","Telugu","Daily","N.S.R.K. BAPU RAO","N.S.R.K. BAPURAO","Andhra Pradesh","Srikakulam","View        registration details for GREATER NEWS (APTEL/2009/28304)"
"1104","GREATER NEWS","APTEL/2009/28305","06-07-2009","Telugu","Daily","N.S.R.K. BAPU RAO","N.S.R.K. BAPURAO","Andhra Pradesh","East Godavari","View        registration details for GREATER NEWS (APTEL/2009/28305)"
"1105","GREATER NEWS","APTEL/2012/43233","21-06-2012","Telugu","Monthly","N.S.R.K. BAPURAO","N.S.R.K. BAPURAO","Andhra Pradesh","Visakhapatnam","View        registration details for GREATER NEWS (APTEL/2012/43233)"
"1106","GREATER NEWS","APTEL/2006/18219","03-01-2007","Telugu","Daily","N.S.R.K. BAPURAO","N.S.R.K. BAPURAO","Andhra Pradesh","Visakhapatnam","View        registration details for GREATER NEWS (APTEL/2006/18219)"
"1107","GREATER SAMACHAR","APTEL/2013/48591","13-03-2013","Telugu","Monthly","THAGARAM SATYANARAYANA","THAGARAM SATYANARAYANA","Andhra Pradesh","Rangareddy","View        registration details for GREATER SAMACHAR (APTEL/2013/48591)"
"1108","GREATER SAMIKSHA","APTEL/2012/48295","25-02-2013","Telugu","Fortnightly","NEELAPU ASHOK KUMAR","NEELAPU ASHOK KUMAR","Andhra Pradesh","Visakhapatnam","View        registration details for GREATER SAMIKSHA (APTEL/2012/48295)"
"1109","GREATER TIMES","APTEL/2011/39496","08-11-2011","Telugu","Monthly","YALLA APPA RAO","YALLA APPA RAO","Andhra Pradesh","Visakhapatnam","View        registration details for GREATER TIMES (APTEL/2011/39496)"
"1110","GREATER TODAY","APTEL/2006/18398","06-02-2007","TELUGU","Daily","KAKUMANU VENKATA VENU","KAKUMANU VENKATA VENU","Andhra Pradesh","Visakhapatnam","View        registration details for GREATER TODAY (APTEL/2006/18398)"
"1111","GREATER VAARTHA","APTEL/2009/30502","15-01-2010","Telugu","Fortnightly","BETHA SRINIVASA RAO","BETHA SRINIVASA RAO","Andhra Pradesh","Visakhapatnam","View        registration details for GREATER VAARTHA (APTEL/2009/30502)"
"1112","GREATER VOICE","APTEL/2016/70088","17-01-2017","Telugu","Daily","PASUPUREDDY NARASINGA RAO","PASUPUREDDY NARASINGA RAO","Andhra Pradesh","Visakhapatnam","View        registration details for GREATER VOICE (APTEL/2016/70088)"
"1113","GREATER VOICE","APTEL/2013/51420","13-08-2013","Telugu","Fortnightly","PASUPUREDDY NARASINGA RAO","PASUPUREDDY NARASINGA RAO","Andhra Pradesh","Visakhapatnam","View        registration details for GREATER VOICE (APTEL/2013/51420)"
