"SN.","Title","Registration Number","Registration Date","Language","Periodicity","Publisher","Owner","Publication State","Publication District","Action"
"19","AAPTUDU","APTEL/2010/35428","24-01-2011","Telugu","Weekly","RONANKI GOPALA RAO","RONANKI GOPALA RAO","Andhra Pradesh","Visakhapatnam","View        registration details for AAPTUDU (APTEL/2010/35428)"
"20","AAROGYA LAKSHMI","APBIL/2013/54326","30-01-2014","English, Telugu","Monthly","Rachamsetty Durga Sangameswara Prakash","Rachamsetty Durga Sangameswara Prakash","Andhra Pradesh","Hyderabad","View        registration details for AAROGYA LAKSHMI (APBIL/2013/54326)"
"21","AASHA JYOTHI","APTEL/2020/80295","07-09-2021","Telugu","Daily","P.DILLI BABU REDDY","P.DILLI BABU REDDY","Andhra Pradesh","East Godavari","View        registration details for AASHA JYOTHI (APTEL/2020/80295)"
"22","AASHA JYOTHI","APTEL/2016/70068","16-01-2017","Telugu","Daily","P. DILLI BABU REDDY","P.DILLI BABU REDDY","Andhra Pradesh","Sri Potti Sriramulu Nellore","View        registration details for AASHA JYOTHI (APTEL/2016/70068)"
"23","AASHA JYOTHI","APTEL/2017/74188","14-12-2017","Telugu","Daily","P. DILLI BABU REDDY","P.DILLI BABU REDDY","Andhra Pradesh","Krishna","View        registration details for AASHA JYOTHI (APTEL/2017/74188)"
"24","AASHA JYOTHI","TEL/2004/14879","15-09-2004","Telugu","Daily","P.DILLI BABU REDDY","P.DILLI BABU REDDY","Andhra Pradesh","Chittoor","View        registration details for AASHA JYOTHI (TEL/2004/14879)"
"25","AASHA JYOTHI","APTEL/26/A1362","25-02-2026","Telugu","Daily","P DILLI BABU REDDY","P DILLI BABU REDDY","Andhra Pradesh","Visakhapatnam","View        registration details for AASHA JYOTHI (APTEL/26/A1362)"
"26","AATHMA","APTEL/2012/47543","17-01-2013","Telugu","Monthly","BETHAPUDI RAMESH","BETHAPUDI RAMESH","Andhra Pradesh","Krishna","View        registration details for AATHMA (APTEL/2012/47543)"
"27","AATHMAARPANA","APTEL/2012/52885","30-10-2013","Telugu","Monthly","VENKUMAHANTHI SREENIVASA","VENKUMAHANTHI SREENIVASA","Andhra Pradesh","Visakhapatnam","View        registration details for AATHMAARPANA (APTEL/2012/52885)"
"28","AATMAGOURAVAM","APTEL/2015/66254","25-02-2016","Telugu","Monthly","BAYIKATI PRAHALLAD","BAYIKATI PRAHALLAD","Andhra Pradesh","Kurnool","View        registration details for AATMAGOURAVAM (APTEL/2015/66254)"
"29","AATMEEYA VAANI","APTEL/2014/74619","08-02-2018","Telugu","Monthly","ACHARY CHINTHARALA","ACHARY CHINTHARALA","Andhra Pradesh","Krishna","View        registration details for AATMEEYA VAANI (APTEL/2014/74619)"
"30","Aatreya Times","APTEL/25/A2416","04-09-2025","Telugu","Monthly","CHAITANYA ARAVAM","CHAITANYA ARAVAM","Andhra Pradesh","Guntur","View        registration details for Aatreya Times (APTEL/25/A2416)"
"31","ABHAYAM","APTEL/2010/31532","18-03-2010","Telugu","Weekly","SAKAMURI SRINIVASULU","SAKAMURI SRINIVASULU","Andhra Pradesh","Sri Potti Sriramulu Nellore","View        registration details for ABHAYAM (APTEL/2010/31532)"
"32","ABHAYAM","APTEL/2015/62766","22-06-2015","Telugu","Daily","SAKAMURI SRINIVASULU","SAKAMURI SRINIVASULU","Andhra Pradesh","Krishna","View        registration details for ABHAYAM (APTEL/2015/62766)"
"33","ABHAYAM","APTEL/26/A1225","18-02-2026","Telugu","Daily","SAKAMURI SRINIVASULU","SAKAMURI SRINIVASULU","Andhra Pradesh","Krishna","View        registration details for ABHAYAM (APTEL/26/A1225)"
"34","ABHEESTAM","APTEL/2012/58031","30-10-2014","Telugu","Daily","SAMBAIAH. SETTUPALLI","SAMBAIAH . SETTUPALLI","Andhra Pradesh","Guntur","View        registration details for ABHEESTAM (APTEL/2012/58031)"
"35","ABHILASHA NEWS","APTEL/25/A0479","27-05-2025","Telugu","Daily","Jangam Dasu","Jangam Dasu","Andhra Pradesh","Guntur","View        registration details for ABHILASHA NEWS (APTEL/25/A0479)"
"36","ABHINAVA KRANTHI","APTEL/2022/81948","24-08-2022","Telugu","Monthly","P BHUVANESWARI","P BHUVANESWARI","Andhra Pradesh","Kurnool","View        registration details for ABHINAVA KRANTHI (APTEL/2022/81948)"
"37","ABHIPRAYA MALIKA","APTEL/2017/73528","11-10-2017","Telugu","Daily","RAGHUPATRUNI BHAVANI BHASKAR","RAGHUPATRUNI BHAVANI BHASKAR","Andhra Pradesh","Srikakulam","View        registration details for ABHIPRAYA MALIKA (APTEL/2017/73528)"
"38","ABHIPRAYAM","66516","28-06-1997","Telugu","Monthly","LAVISHETTY NARSIMHA SWAMY","LAVISHETTY NARSIMHA SWAMY","Andhra Pradesh","Warangal","View        registration details for ABHIPRAYAM (66516)"
"39","ABHYUDAYA JYOTHI","APTEL/2011/37453","24-05-2011","Telugu","Monthly","D.ESWARA NARAYANA","D. ESWARA NARAYANA","Andhra Pradesh","Anantapur","View        registration details for ABHYUDAYA JYOTHI (APTEL/2011/37453)"
"40","ABKARI SAMACHARAM","APTEL/2014/59573","14-01-2015","Telugu","Monthly","N. PURUSHOTHAM","N. PURUSHOTHAM","Andhra Pradesh","Chittoor","View        registration details for ABKARI SAMACHARAM (APTEL/2014/59573)"
"41","ACHARYA VANI","64631","12-06-1996","English, Telugu","Monthly","KOMANDURU SESHADRI","SHIRDI SAI CULTURAL MISSION","Andhra Pradesh","Sri Potti Sriramulu Nellore","View        registration details for ACHARYA VANI (64631)"
"42","ADAM TIMES","APURD/2012/48188","20-02-2013","Urdu","Daily","MOHD. AKBAR","MOHD. AKBAR","Andhra Pradesh","Hyderabad","View        registration details for ADAM TIMES (APURD/2012/48188)"
"43","ADAM TIMES","APURD/2007/23171","27-02-2008","Urdu","Weekly","MOHD. AKBAR","MOHD. AKBAR","Andhra Pradesh","Hyderabad","View        registration details for ADAM TIMES (APURD/2007/23171)"
"44","ADARASINI","20927","18-08-1970","Telugu","Weekly","SRI A. ELIAIAH","A.ELLIAH","Andhra Pradesh","Chittoor","View        registration details for ADARASINI (20927)"
"45","ADARSHA DEEPIKA","APTEL/2013/50014","28-05-2013","Telugu","Fortnightly","G. PRASAD REDDY","G. PRASAD REDDY","Andhra Pradesh","Kurnool","View        registration details for ADARSHA DEEPIKA (APTEL/2013/50014)"
"46","ADDAM","APTEL/2013/49077","08-04-2013","Telugu","Monthly","THALLAMALLA YADAGIRI","T.YADAGIRI","Andhra Pradesh","Nalgonda","View        registration details for ADDAM (APTEL/2013/49077)"
"47","ADHIKARA JYOTHI","APTEL/26/A2776","27-04-2026","Telugu","Daily","MOOLI YALLAMRAJU","MOOLI YALLAMRAJU","Andhra Pradesh","Ananthapur","View        registration details for ADHIKARA JYOTHI (APTEL/26/A2776)"
"48","ADHIKARA JYOTHI","APTEL/2014/59372","31-12-2014","Telugu","Fortnightly","MOOLI YALLAMA RAJU","MOOLI YALLAMA RAJU","Andhra Pradesh","Anantapur","View        registration details for ADHIKARA JYOTHI (APTEL/2014/59372)"
"49","ADHIKARAM","APTEL/2016/69509","01-12-2016","Telugu","Monthly","S. BABA FAKRUDDIN","S. BABA FAKRUDDIN","Andhra Pradesh","Anantapur","View        registration details for ADHIKARAM (APTEL/2016/69509)"
"50","Adhikarika Spandhana","APTEL/25/A3661","30-10-2025","Telugu","Monthly","JALUMURU RAMAKRISHNA","JALUMURU RAMAKRISHNA","Andhra Pradesh","Visakhapatnam","View        registration details for Adhikarika Spandhana (APTEL/25/A3661)"
"51","ADHINETA","APTEL/2010/30949","16-02-2010","Telugu","Monthly","KONATHALA MOHANA RAO","KONATHALA MOHANA RAO","Andhra Pradesh","Visakhapatnam","View        registration details for ADHINETA (APTEL/2010/30949)"
"52","ADHISTANAM","APTEL/2014/57456","23-09-2014","Telugu","Daily","VAPPANGI NAGENDRARAO","VAPPANGI NAGENDRARAO","Andhra Pradesh","Srikakulam","View        registration details for ADHISTANAM (APTEL/2014/57456)"
"53","ADHYATHMIKA AVADHUTHA","APTEL/2016/69520","01-12-2016","Telugu","Monthly","AKKURTHI ANANDA REDDY","AKKURTHI ANANDA REDDY","Andhra Pradesh","Chittoor","View        registration details for ADHYATHMIKA AVADHUTHA (APTEL/2016/69520)"
"54","ADHYATMA VIDHYA SUDA","APTEL/25/A2630","18-09-2025","Telugu","Monthly","MALAGI VIDYANIDHI ACHAR","MALAGI VIDYANIDHI ACHAR","Andhra Pradesh","Y.S.R.","View        registration details for ADHYATMA VIDHYA SUDA (APTEL/25/A2630)"
"55","ADHYATMAJYOTHY","APTEL/25/A2977","06-10-2025","Telugu","Bimonthly (Once in two months)","PARAYANAM SURESWARA SHARMA","PARAYANAM SURESWARA SHARMA","Andhra Pradesh","Ananthapur","View        registration details for ADHYATMAJYOTHY (APTEL/25/A2977)"
"56","ADHYATMIKA LEKHINI","APTEL/2018/75959","29-08-2018","Telugu","Bimonthly (Once in two months)","GURUJU RAJA SEKHAR","GURUJU RAJA SEKHAR","Andhra Pradesh","West Godavari","View        registration details for ADHYATMIKA LEKHINI (APTEL/2018/75959)"
"57","ADI PARVAM","APTEL/25/A4587","02-12-2025","Telugu","Monthly","ARDHANI NARENDRA VARMA","ARDHANI NARENDRA VARMA","Andhra Pradesh","Visakhapatnam","View        registration details for ADI PARVAM (APTEL/25/A4587)"
"58","ADILABAD HINDI DAILY","APHIN/2009/29553","12-11-2009","Hindi","Daily","SANDESH B. BHARADWAJ","SANDESH B. BHARADWAJ","Andhra Pradesh","Adilabad","View        registration details for ADILABAD HINDI DAILY (APHIN/2009/29553)"
"59","ADIPATHI","APTEL/2004/14136","11-10-2004","Telugu","Fortnightly","MANGALAPURI VENKATESWARLU","MANGALAPURI VENKATESWARLU","Andhra Pradesh","Sri Potti Sriramulu Nellore","View        registration details for ADIPATHI (APTEL/2004/14136)"
"60","ADITYA HRIDAYAM NEWS","APTEL/25/A1156","06-06-2025","Telugu","Weekly","Manepalli Mallikarjuna Rao","Manepalli Mallikarjuna Rao","Andhra Pradesh","Krishna","View        registration details for ADITYA HRIDAYAM NEWS (APTEL/25/A1156)"
"61","ADSAH","APURD/2006/17491","25-09-2006","Urdu","Daily","MIR FAROOQ ALI","MIR FAROOQ ALI","Andhra Pradesh","Hyderabad","View        registration details for ADSAH (APURD/2006/17491)"
"62","ADUNIKA CHANUKYA","APTEL/25/A2522","15-09-2025","Telugu","Monthly","OTTIKONDA REDDY SEKHAR","OTTIKONDA REDDY SEKHAR","Andhra Pradesh","Chittoor","View        registration details for ADUNIKA CHANUKYA (APTEL/25/A2522)"
"63","ADVOCACY","APBIL/2014/56517","13-08-2014","English, Telugu","Monthly","GODAVARTHI SRIMANNARAYANA","GODAVARTHI SRIMANNARAYANA","Andhra Pradesh","Visakhapatnam","View        registration details for ADVOCACY (APBIL/2014/56517)"
"64","ADYATMIKA VANI","APTEL/2016/69003","18-10-2016","Telugu","Monthly","BODDEPALLI GIRI BABU","BODDEPALLI GIRI BABU","Andhra Pradesh","Visakhapatnam","View        registration details for ADYATMIKA VANI (APTEL/2016/69003)"
"65","AGGI PULLA","APTEL/25/A3774","07-11-2025","Telugu","Daily","POLAVARAPU BABURAO","POLAVARAPU BABURAO","Andhra Pradesh","East Godavari","View        registration details for AGGI PULLA (APTEL/25/A3774)"
"66","AGNI NETRA","APTEL/2018/76233","12-10-2018","Telugu","Monthly","KARTAM SRINIVASULU REDDY","KARTAM SRINIVASULU REDDY","Andhra Pradesh","Sri Potti Sriramulu Nellore","View        registration details for AGNI NETRA (APTEL/2018/76233)"
"67","AGNIDHRUVAM","APTEL/2023/90135","13-11-2024","TELUGU","Daily","POTHAMSETTI  RAMALAKSHMI","POTHAMSETTI  RAMALAKSHMI","Andhra Pradesh","","View        registration details for AGNIDHRUVAM (APTEL/2023/90135)"
"68","AGNIVARSHA","APTEL/2009/27932","01-06-2009","Telugu","Daily","ESWARA RAO NAGESWARA","ESWARA RAO NAGESWARA","Andhra Pradesh","Srikakulam","View        registration details for AGNIVARSHA (APTEL/2009/27932)"
"69","AGNIVARSHA","APTEL/2006/16432","16-02-2006","Telugu","Monthly","ESWARA RAO NAGESWARA","ESWARA RAO NAGESWARA","Andhra Pradesh","Srikakulam","View        registration details for AGNIVARSHA (APTEL/2006/16432)"
"70","AGRA NETHA","APTEL/2014/58043","30-10-2014","Telugu","Weekly","UPPUGALLA SANTHOSH KUMAR","UPPUGALLA SANTOSH KUMAR","Andhra Pradesh","Rangareddy","View        registration details for AGRA NETHA (APTEL/2014/58043)"
"71","AGRASHRENI","APTEL/2007/22492","08-01-2008","Telugu","Fortnightly","S. RAJ KUMAR","SOYINENI RAJ KUMAR","Andhra Pradesh","Karimnagar","View        registration details for AGRASHRENI (APTEL/2007/22492)"
"72","AGRASHRENI","APTEL/2008/29378","28-10-2009","Telugu","Daily","SOYINENI RAJ KUMAR","SOYINENI RAJ KUMAR","Andhra Pradesh","Karimnagar","View        registration details for AGRASHRENI (APTEL/2008/29378)"
"73","AGRI CLINIC","APTEL/2010/34567","01-12-2010","Telugu","Monthly","YELURI SAMBA SIVA RAO","SAMBA SIVA RAO. YELURI","Andhra Pradesh","Hyderabad","View        registration details for AGRI CLINIC (APTEL/2010/34567)"
"74","AHEM ITELLA","APURD/2015/63927","26-08-2015","Urdu","Daily","SYED OSMAN RASHEED","SYED OSMAN RASHEED","Andhra Pradesh","Krishna","View        registration details for AHEM ITELLA (APURD/2015/63927)"
"75","AIKYAUPADHYAYA","APMUL/2019/80460","15-11-2021","MULTILINGUAL","Monthly","KANDALA SATYA SUBRAHMANYA PRASAD","A. P.UNITED TEACHERS FEDERATION","Andhra Pradesh","Krishna","View        registration details for AIKYAUPADHYAYA (APMUL/2019/80460)"
"76","AJANTA","APURD/2008/28793","19-08-2009","Urdu","Weekly","RISHI MAMCHAND KAUSHICK","RISHI MAMCHAND KAUSHICK","Andhra Pradesh","Hyderabad","View        registration details for AJANTA (APURD/2008/28793)"
"77","AKANDA NUEES","APTEL/25/A2580","16-09-2025","Telugu","Monthly","Saguturu Venkata Ramana Ravi Babu","Saguturu Venkata Ramana Ravi Babu","Andhra Pradesh","Guntur","View        registration details for AKANDA NUEES (APTEL/25/A2580)"
"78","akashara koumudhi","APTEL/25/A5343","30-12-2025","Telugu","Monthly","YEMPADA APPARAO","YEMPADA APPARAO","Andhra Pradesh","Vizianagaram","View        registration details for akashara koumudhi (APTEL/25/A5343)"
"79","AKASHRA MALIKA","APTEL/25/A2488","11-09-2025","Telugu","Daily","ADIANDHRA GANESH","ADIANDHRA GANESH","Andhra Pradesh","Sri Satya Sai","View        registration details for AKASHRA MALIKA (APTEL/25/A2488)"
"80","AKHANDA BHOOMI","APTEL/2022/84042","27-04-2023","Telugu","Daily","MASAPOGU ESWARAIAH","MASAPOGU ESWARAIAH","Andhra Pradesh","Kurnool","View        registration details for AKHANDA BHOOMI (APTEL/2022/84042)"
"81","AKHANDA BHOOMI","APTEL/25/A4964","10-12-2025","Telugu","Monthly","MASAPOGU ESWARAIAH","MASAPOGU ESWARAIAH","Andhra Pradesh","Kurnool","View        registration details for AKHANDA BHOOMI (APTEL/25/A4964)"
"82","AKHANDAA SURYAA","APTEL/25/A4586","02-12-2025","Telugu","Daily","PETTA VENKATA SURYANARAYANA","PETTA VENKATA SURYANARAYANA","Andhra Pradesh","Krishna","View        registration details for AKHANDAA SURYAA (APTEL/25/A4586)"
"83","AKHILA BHARATH SURYA","APTEL/26/A3540","12-05-2026","Telugu","Daily","PAILA APPARAO","PAILA APPARAO","Andhra Pradesh","Visakhapatnam","View        registration details for AKHILA BHARATH SURYA (APTEL/26/A3540)"
"84","AKHSARA CHARITHRA","APTEL/2013/50148","03-06-2013","Telugu","Daily","SINGAMPALLI SRINIVAS","SINGAMPALLI SRINIVAS","Andhra Pradesh","Visakhapatnam","View        registration details for AKHSARA CHARITHRA (APTEL/2013/50148)"
"85","AKSARA CHATURYA","APTEL/25/A3613","30-10-2025","Telugu","Monthly","VANKARA ANANDA KUMAR","VANKARA ANANDA KUMAR","Andhra Pradesh","Visakhapatnam","View        registration details for AKSARA CHATURYA (APTEL/25/A3613)"
"86","AKSHARA ANVESHANA","APTEL/2013/48486","06-03-2013","Telugu","Monthly","POTTUMUTHU ASHOK KUMAR","POTTUMUTHU ASHOK KUMAR","Andhra Pradesh","Nalgonda","View        registration details for AKSHARA ANVESHANA (APTEL/2013/48486)"
"87","AKSHARA BALAM","APTEL/2010/35642","07-02-2011","Telugu","Fortnightly","MUKKU RAMANAIAH","MUKKU RAMANAIAH","Andhra Pradesh","Sri Potti Sriramulu Nellore","View        registration details for AKSHARA BALAM (APTEL/2010/35642)"
"88","AKSHARA BANAM","APTEL/2010/33546","03-09-2010","Telugu","Monthly","PANCHADI APPARAO","PANCHADI APPA RAO","Andhra Pradesh","Vizianagaram","View        registration details for AKSHARA BANAM (APTEL/2010/33546)"
"89","AKSHARA BHANU","APTEL/2019/77049","01-04-2019","TELUGU","Fortnightly","FAKHRUDDIN","FAKHRUDDIN","Andhra Pradesh","Visakhapatnam","View        registration details for AKSHARA BHANU (APTEL/2019/77049)"
"90","AKSHARA BHERI","APTEL/2017/71639","03-05-2017","Telugu","Weekly","GARIKAPATI RAJESH","GARIKAPATI RAJESH","Andhra Pradesh","Guntur","View        registration details for AKSHARA BHERI (APTEL/2017/71639)"
"91","AKSHARA BHOOMI","APTEL/2008/24803","14-07-2008","Telugu","Weekly","BILLA RAJU","BILLA RAJU","Andhra Pradesh","Guntur","View        registration details for AKSHARA BHOOMI (APTEL/2008/24803)"
"92","AKSHARA BHOOMI","APBIL/2011/37448","23-05-2011","English, Telugu","Daily","BILLA RAJU","BILLA RAJU","Andhra Pradesh","Guntur","View        registration details for AKSHARA BHOOMI (APBIL/2011/37448)"
"93","AKSHARA CHAITANYAM","APTEL/2013/49074","08-04-2013","Telugu","Monthly","G. SUNDEEP","G.SUNDEEP","Andhra Pradesh","Rangareddy","View        registration details for AKSHARA CHAITANYAM (APTEL/2013/49074)"
"94","AKSHARA DHATRI","APTEL/2023/87743","03-07-2024","TELUGU","Daily","SURADA SAI LAKSHMI","SURADA SAI LAKSHMI","Andhra Pradesh","","View        registration details for AKSHARA DHATRI (APTEL/2023/87743)"
"95","AKSHARA DHWANI","APTEL/2013/52231","24-09-2013","Telugu","Weekly","SHAIK ABDUL KHADAR","SHAIK ABDUL KHADAR","Andhra Pradesh","Kurnool","View        registration details for AKSHARA DHWANI (APTEL/2013/52231)"
"96","AKSHARA DHWANI","APTEL/2016/70026","12-01-2017","Telugu","Daily","SHAIK ABDUL KHADAR","SHAIK ABDUL KHADAR","Andhra Pradesh","Kurnool","View        registration details for AKSHARA DHWANI (APTEL/2016/70026)"
"97","AKSHARA KALAM","APTEL/2009/27246","09-03-2009","Telugu","Daily","PITTALA RAMA KRISHNA","PITTALA RAMA KRISHNA","Andhra Pradesh","Nalgonda","View        registration details for AKSHARA KALAM (APTEL/2009/27246)"
"98","AKSHARA KANTHI","APTEL/2010/31624","25-03-2010","Telugu","Monthly","MOHD. SHOWKATH ALI","MOHD. SHOWKATH ALI","Andhra Pradesh","Nalgonda","View        registration details for AKSHARA KANTHI (APTEL/2010/31624)"
"99","AKSHARA KARA DEEPIKA VAARTHAA SUDHA","APTEL/2009/31083","18-02-2010","Telugu","Weekly","GANDI SUDHAKAR","GANDI SUDHAKAR","Andhra Pradesh","West Godavari","View        registration details for AKSHARA KARA DEEPIKA VAARTHAA SUDHA (APTEL/2009/31083)"
"100","AKSHARA KERATAM","APTEL/2013/54371","31-01-2014","Telugu","Daily","KOLLURU JAGANNADHA SARMA","KOLLURU JAGANNADHA SARMA","Andhra Pradesh","Vizianagaram","View        registration details for AKSHARA KERATAM (APTEL/2013/54371)"
"101","AKSHARA KIRANAM","APTEL/2019/78427","14-01-2020","Telugu","Weekly","PUJARI NARASINGA RAO","PUJARI NARASINGA RAO","Andhra Pradesh","Visakhapatnam","View        registration details for AKSHARA KIRANAM (APTEL/2019/78427)"
"102","AKSHARA KOUMUDI","APTEL/25/A1722","07-07-2025","Telugu","Daily","YEMPADA APPARAO","YEMPADA APPARAO","Andhra Pradesh","Vizianagaram","View        registration details for AKSHARA KOUMUDI (APTEL/25/A1722)"
"103","AKSHARA KRISHNA","APTEL/2018/77811","30-07-2019","Telugu","Daily","PAGADALA NAGESWARA RAO","PAGADALA NAGESWARA RAO","Andhra Pradesh","Krishna","View        registration details for AKSHARA KRISHNA (APTEL/2018/77811)"
"104","AKSHARA KRISHNA","APTEL/25/A3688","03-11-2025","Telugu","Daily","Pagadala Nageswara Rao","Pagadala Nageswara Rao","Andhra Pradesh","Chittoor","View        registration details for AKSHARA KRISHNA (APTEL/25/A3688)"
"105","AKSHARA KRISHNA","APTEL/26/A3066","05-05-2026","Telugu","Daily","Pagadala Nageswara Rao","Pagadala Nageswara Rao","Andhra Pradesh","Guntur","View        registration details for AKSHARA KRISHNA (APTEL/26/A3066)"
"106","AKSHARA LEADER","APTEL/2016/69537","05-12-2016","Telugu","Daily","ALLU UMAMAHESWARA RAO","ALLU UMAMAHESWARA RAO","Andhra Pradesh","Srikakulam","View        registration details for AKSHARA LEADER (APTEL/2016/69537)"
"107","AKSHARA LEADER","APTEL/2015/63894","24-08-2015","Telugu","Monthly","ALLU UMAMAHESWARA RAO","ALLU UMAMAHESWARA RAO","Andhra Pradesh","Srikakulam","View        registration details for AKSHARA LEADER (APTEL/2015/63894)"
"108","AKSHARA MANI","APTEL/2010/36519","29-03-2011","Telugu","Monthly","MAHESWARA RAO LANKADA","MAHESWARA RAO LANKADA","Andhra Pradesh","Visakhapatnam","View        registration details for AKSHARA MANI (APTEL/2010/36519)"
"109","AKSHARA MANI","APTEL/2012/44181","18-07-2012","Telugu","Daily","MAHESWARA RAO LANKADA","MAHESWARA RAO LANKADA","Andhra Pradesh","Visakhapatnam","View        registration details for AKSHARA MANI (APTEL/2012/44181)"
"110","AKSHARA NIRNAYAM","APTEL/2018/76385","12-11-2018","Telugu","Monthly","CHAKRAM DINESH KUMAR","CHAKRAM DINESH KUMAR","Andhra Pradesh","Sri Potti Sriramulu Nellore","View        registration details for AKSHARA NIRNAYAM (APTEL/2018/76385)"
"111","AKSHARA PORATAM","APTEL/2013/53679","19-12-2013","Telugu","Daily","KAMPELLI KISHAN RAO","KAMPELLI KISHAN RAO","Andhra Pradesh","Krishna","View        registration details for AKSHARA PORATAM (APTEL/2013/53679)"
"112","AKSHARA PORATAM","APTEL/2011/37202","11-05-2011","Telugu","Monthly","KAMPELLI KISHARAO","KAMPELLI KISHAN RAO","Andhra Pradesh","Nalgonda","View        registration details for AKSHARA PORATAM (APTEL/2011/37202)"
"113","AKSHARA PORATAM","APTEL/2010/34224","08-11-2010","Telugu","Daily","KAMPELLI KISHAN RAO","KAMPELLI KISHAN RAO","Andhra Pradesh","Nalgonda","View        registration details for AKSHARA PORATAM (APTEL/2010/34224)"
"114","AKSHARA PRABHA","APTEL/2009/29089","30-09-2009","Telugu","Daily","P.V.VIJAYA BHASKAR KUMAR","P.V. VIJAYA BHASKAR KUMAR","Andhra Pradesh","Visakhapatnam","View        registration details for AKSHARA PRABHA (APTEL/2009/29089)"
