"SN.","Title","Registration Number","Registration Date","Language","Periodicity","Publisher","Owner","Publication State","Publication District","Action"
"2011","NAMASTE SIMHAPURI","APTEL/2021/82076","26-08-2022","Telugu","Monthly","KUNDURTI VENKATRAMANAIAH","KUNDURTI VENKATRAMANAIAH","Andhra Pradesh","Sri Potti Sriramulu Nellore","View        registration details for NAMASTE SIMHAPURI (APTEL/2021/82076)"
"2012","NAMASTHE BHEEM","APTEL/2022/83450","28-02-2023","Telugu","Daily","RAJESH GANGAVARAPU","RAJESH GANGAVARAPU","Andhra Pradesh","Guntur","View        registration details for NAMASTHE BHEEM (APTEL/2022/83450)"
"2013","NAMASTHE HYDERABAD","APTEL/2013/50794","09-07-2013","Telugu","Monthly","GODISHALA SOMAIAH","GODISHALA SOMAIAH","Andhra Pradesh","Rangareddy","View        registration details for NAMASTHE HYDERABAD (APTEL/2013/50794)"
"2014","NAMASTHE HYDERABAD","APTEL/2012/45237","13-09-2012","Telugu","Daily","GODISHALA SOMAIAH","GODISHALA SOMAIAH","Andhra Pradesh","Rangareddy","View        registration details for NAMASTHE HYDERABAD (APTEL/2012/45237)"
"2015","NAMASTHE INDIA","APTEL/2012/43935","07-07-2012","Telugu","Weekly","ATMAKURI KRISHNA PRASADA RAO","ATMAKURI KRISHNA PRASADA RAO","Andhra Pradesh","Guntur","View        registration details for NAMASTHE INDIA (APTEL/2012/43935)"
"2016","NAMASTHE INDIA","APTEL/2012/46617","23-11-2012","Telugu","Daily","ATMAKURI KRISHNA PRASADA RAO","ATMAKURI KRISHNA PRASADA RAO","Andhra Pradesh","Guntur","View        registration details for NAMASTHE INDIA (APTEL/2012/46617)"
"2017","NAMASTHE JANASHAKTI","APTEL/2013/49521","06-05-2013","Telugu","Fortnightly","KOTHURI SATYA RAJU","KOTHURI SATYARAJU","Andhra Pradesh","Rangareddy","View        registration details for NAMASTHE JANASHAKTI (APTEL/2013/49521)"
"2018","NAMASTHE JANASHAKTI","APTEL/2012/45704","10-10-2012","Telugu","Daily","KOTTURI SATYA RAJU","KOTHURI SATYARAJU","Andhra Pradesh","Adilabad","View        registration details for NAMASTHE JANASHAKTI (APTEL/2012/45704)"
"2019","NAMASTHE NARADA","APTEL/2022/84206","10-05-2023","Telugu","Daily","MUNEENDRA REDDY NANU","MUNEENDRA REDDY NANU","Andhra Pradesh","Andhra Pradesh","View        registration details for NAMASTHE NARADA (APTEL/2022/84206)"
"2020","NAMASTHE POLICE","APTEL/2015/62911","25-06-2015","Telugu","Monthly","N. PURUSHOTHAM","N. PURUSHOTHAM","Andhra Pradesh","Andhra Pradesh","View        registration details for NAMASTHE POLICE (APTEL/2015/62911)"
"2021","NAMASTHE RAYALASEEMA","APTEL/2017/73656","01-11-2017","Telugu","Daily","B.KRISHNA VENI","B.KRISHNA VENI","Andhra Pradesh","Anantapur","View        registration details for NAMASTHE RAYALASEEMA (APTEL/2017/73656)"
"2022","NAMASTHE RAYALASEEMA","TEL/2017/71218","12-04-2017","Telugu","Daily","B. KRISHNA VENI","B.KRISHNA VENI","Andhra Pradesh","Kurnool","View        registration details for NAMASTHE RAYALASEEMA (TEL/2017/71218)"
"2023","NAMASTHE SEEMANDHRA","APTEL/2016/70728","08-03-2017","Telugu","Daily","M. PARANDHAMA","M PARANDHAMA","Andhra Pradesh","Anantapur","View        registration details for NAMASTHE SEEMANDHRA (APTEL/2016/70728)"
"2024","NAMASTHE SEEMANDHRA","APTEL/2015/62058","21-05-2015","Telugu","Monthly","M.PARANDHAMA","M. PARANDHAMA","Andhra Pradesh","Anantapur","View        registration details for NAMASTHE SEEMANDHRA (APTEL/2015/62058)"
"2025","NAMBURI TIMES","APTEL/2023/85190","12-07-2023","Telugu","Daily","NAMBURI CHINNA SAIDAIAH","NAMBURI CHINNA SAIDAIAH","Andhra Pradesh","Guntur","View        registration details for NAMBURI TIMES (APTEL/2023/85190)"
"2026","NANDA NEWS","APTEL/2020/79092","16-11-2020","Telugu","Monthly","MUCHERLA RAVI PRASAD","MUCHERLA RAVI PRASAD","Andhra Pradesh","West Godavari","View        registration details for NANDA NEWS (APTEL/2020/79092)"
"2027","Nandakamlo Srihari","APTEL/26/A1843","23-03-2026","Telugu","Fortnightly","Chinta Hari Babu","Chinta Hari Babu","Andhra Pradesh","Tirupati","View        registration details for Nandakamlo Srihari (APTEL/26/A1843)"
"2028","NANDANAVANAM","APTEL/2016/71783","08-05-2017","Telugu","Daily","NARAVA SATEESH","NARAVA SATEESH","Andhra Pradesh","Srikakulam","View        registration details for NANDANAVANAM (APTEL/2016/71783)"
"2029","NANDHA JYOTHI","APTEL/2018/75160","10-05-2018","Telugu","Monthly","KADAVAKUDURU RAMBABU","KADAVAKUDURU RAMBABU","Andhra Pradesh","Guntur","View        registration details for NANDHA JYOTHI (APTEL/2018/75160)"
"2030","NANDI DHATRIKA","APTEL/2019/78299","17-12-2019","Telugu","Daily","PALE KIRAN KUMAR","PALE KIRAN KUMAR","Andhra Pradesh","Kurnool","View        registration details for NANDI DHATRIKA (APTEL/2019/78299)"
"2031","NANDI PATRIKA","APTEL/2023/88162","29-07-2024","TELUGU","Daily","MUKKAMALLA MAHESH BABU","MUKKAMALLA MAHESH BABU","Andhra Pradesh","","View        registration details for NANDI PATRIKA (APTEL/2023/88162)"
"2032","NANDI PRABHA","APTEL/2013/52223","24-09-2013","Telugu","Monthly","P. PRABHAKAR","P. PRABHAKAR","Andhra Pradesh","Kurnool","View        registration details for NANDI PRABHA (APTEL/2013/52223)"
"2033","NANDI TIMES","APTEL/2014/59452","07-01-2015","Telugu","Daily","G.S. SUNDARA SARMA","G.S. SUNDARA SARMA","Andhra Pradesh","Visakhapatnam","View        registration details for NANDI TIMES (APTEL/2014/59452)"
"2034","NANDI TIMES","APTEL/2011/39059","30-09-2011","Telugu","Daily","G.S. SUNDARA SARMA","G.S. SUNDARA SARMA","Andhra Pradesh","Medchal Malkajgiri","View        registration details for NANDI TIMES (APTEL/2011/39059)"
"2035","NANDI TIMES","APTEL/2013/53931","07-01-2014","Telugu","Daily","G.S. SUNDARA SHARMA","G.S. SUNDARA SARMA","Andhra Pradesh","Kurnool","View        registration details for NANDI TIMES (APTEL/2013/53931)"
"2036","NANDI TIMES","APTEL/2013/56966","04-09-2014","Telugu","Daily","G.S. SUNDARA SHARMA","G.S. SUNDARA SARMA","Andhra Pradesh","Guntur","View        registration details for NANDI TIMES (APTEL/2013/56966)"
"2037","NANDI VOICE","APTEL/2023/87959","19-07-2024","TELUGU","Monthly","J CHANDRA KALA","J CHANDRA KALA","Andhra Pradesh","","View        registration details for NANDI VOICE (APTEL/2023/87959)"
"2038","nandini notice","APTEL/25/A1103","06-06-2025","Telugu","Daily","Vadde Lakshmidevi","Vadde Lakshmidevi","Andhra Pradesh","Kurnool","View        registration details for nandini notice (APTEL/25/A1103)"
"2039","NANDU TIMES","APTEL/2012/44823","23-08-2012","Telugu","Monthly","B. SUBRAMANYAM REDDY","B. SUBRAMANYAM REDDY","Andhra Pradesh","Anantapur","View        registration details for NANDU TIMES (APTEL/2012/44823)"
"2040","NANDYAL EXPRESS","APTEL/2013/52222","24-09-2013","Telugu","Weekly","P. PRABHAKAR","P. PRABHAKAR","Andhra Pradesh","Kurnool","View        registration details for NANDYAL EXPRESS (APTEL/2013/52222)"
"2041","NANDYAL SAMACHAR","APTEL/2015/66376","10-03-2016","Telugu","Monthly","YEDDULA NAGESWARARAO","YEDDULA NAGESWARARAO","Andhra Pradesh","Kurnool","View        registration details for NANDYAL SAMACHAR (APTEL/2015/66376)"
"2042","NANO DIGEST","APENG/2009/28291","06-07-2009","English","Monthly","K. HARI PRASAD","SMT.K.RADHA KUMARI","Andhra Pradesh","Hyderabad","View        registration details for NANO DIGEST (APENG/2009/28291)"
"2043","NAQEEB-E-DECCAN","APURD/2013/54824","27-02-2014","Urdu","Daily","SHAGUFTA SHEREEN","SHAGUFTA SHEREEN","Andhra Pradesh","Hyderabad","View        registration details for NAQEEB-E-DECCAN (APURD/2013/54824)"
"2044","NAQEEB-E-DECCAN","APURD/2011/41664","18-04-2012","Urdu","Weekly","SHAGUFTA SHEREEN","SHAGUFTA SHEREEN","Andhra Pradesh","Hyderabad","View        registration details for NAQEEB-E-DECCAN (APURD/2011/41664)"
"2045","NARAVAARI MAHAANAADU","APTEL/26/A2130","30-03-2026","Telugu","Monthly","M A Kamal das","M A Kamal das","Andhra Pradesh","Tirupati","View        registration details for NARAVAARI MAHAANAADU (APTEL/26/A2130)"
"2046","NARI VIJAYAM","APTEL/2016/67681","27-06-2016","Telugu","Weekly","M. BHAGYA LAKSHMI","M. BHAGYA LAKSHMI","Andhra Pradesh","Visakhapatnam","View        registration details for NARI VIJAYAM (APTEL/2016/67681)"
"2047","NASER TIMES","APENG/2011/37412","20-05-2011","English","Weekly","JAHANGIR SULTANA","JAHANGIR SULTANA","Andhra Pradesh","Hyderabad","View        registration details for NASER TIMES (APENG/2011/37412)"
"2048","NASER TIMES","APURD/2011/40038","15-12-2011","Urdu","Daily","JAHANGIR SULTANA","JAHANGIR SULTANA","Andhra Pradesh","Hyderabad","View        registration details for NASER TIMES (APURD/2011/40038)"
"2049","NATI PRAJA SANTHI NEW SAMACHARAM","APTEL/25/A5342","30-12-2025","Telugu","Daily","SHAIK JAMALULLAH","SHAIK JAMALULLAH","Andhra Pradesh","Tirupati","View        registration details for NATI PRAJA SANTHI NEW SAMACHARAM (APTEL/25/A5342)"
"2050","NATIONAL EXPRESS","APENG/2009/28860","28-08-2009","English","Daily","N. PURUSHOTHAM GOUD","N. PURUSHOTHAM GOUD","Andhra Pradesh","Hyderabad","View        registration details for NATIONAL EXPRESS (APENG/2009/28860)"
"2051","NATIONAL LABOUR SAMACHAR","APMUL/2013/51426","13-08-2013","English, Telugu, Hindi","Monthly","N. PURUSHOTHAM","N. PURUSHOTHAM","Andhra Pradesh","Chittoor","View        registration details for NATIONAL LABOUR SAMACHAR (APMUL/2013/51426)"
"2052","NATIONAL LEADER","APTEL/2006/19555","26-04-2007","Telugu","Fortnightly","N. MALLIKARJUNA RAO","N.MALLIKARJUNA RAO","Andhra Pradesh","Sri Potti Sriramulu Nellore","View        registration details for NATIONAL LEADER (APTEL/2006/19555)"
"2053","NATIONAL NEWS EXPRESS","APTEL/2010/32036","22-04-2010","Telugu","Monthly","KOILADA PARASURAM","KOILADA PARASURAM","Andhra Pradesh","Visakhapatnam","View        registration details for NATIONAL NEWS EXPRESS (APTEL/2010/32036)"
"2054","NATIONAL NEWS EXPRESS","APTEL/2018/75411","05-06-2018","Telugu","Daily","KOILADA PARASURAM","KOILADA PARASURAM","Andhra Pradesh","Visakhapatnam","View        registration details for NATIONAL NEWS EXPRESS (APTEL/2018/75411)"
"2055","NATIONAL REPORT","APTEL/2022/81836","17-08-2022","Telugu","Monthly","GURRAMKONDA VIJAYA BHASKAR","GURRAMKONDA VIJAYA BHASKAR","Andhra Pradesh","Sri Potti Sriramulu Nellore","View        registration details for NATIONAL REPORT (APTEL/2022/81836)"
"2056","NATIONALIST HUB","APTEL/2023/87870","23-07-2024","Telugu","Daily","SIRASALA SURESH KUMAR","SIRASALA SURESH KUMAR","Andhra Pradesh","Ananthapur","View        registration details for NATIONALIST HUB (APTEL/2023/87870)"
"2057","NATIONALIST HUB","APTEL/26/A2526","15-04-2026","Telugu","Daily","SIRASALA SURESH KUMAR","SIRASALA SURESH KUMAR","Andhra Pradesh","Visakhapatnam","View        registration details for NATIONALIST HUB (APTEL/26/A2526)"
"2058","NATIONALIST HUB","APTEL/26/A2758","23-04-2026","Telugu","Daily","SIRASALA SURESH KUMAR","SIRASALA SURESH KUMAR","Andhra Pradesh","Guntur","View        registration details for NATIONALIST HUB (APTEL/26/A2758)"
"2059","NATIONALIST HUB","APTEL/26/A0276","13-01-2026","Telugu","Daily","SIRASALA SURESH KUMAR","SIRASALA SURESH KUMAR","Andhra Pradesh","East Godavari","View        registration details for NATIONALIST HUB (APTEL/26/A0276)"
"2060","NATIONALIST HUB","APTEL/26/A0278","13-01-2026","Telugu","Daily","SIRASALA SURESH KUMAR","SIRASALA SURESH KUMAR","Andhra Pradesh","Chittoor","View        registration details for NATIONALIST HUB (APTEL/26/A0278)"
"2061","NATIONALIST HUB","APTEL/25/A5337","29-12-2025","Telugu","Daily","SIRASALA SURESH KUMAR","SIRASALA SURESH KUMAR","Andhra Pradesh","Kurnool","View        registration details for NATIONALIST HUB (APTEL/25/A5337)"
"2062","NATIONALIST HUB","APTEL/26/A2355","09-04-2026","Telugu","Daily","SIRASALA SURESH KUMAR","SIRASALA SURESH KUMAR","Andhra Pradesh","Prakasam","View        registration details for NATIONALIST HUB (APTEL/26/A2355)"
"2063","NATIONALIST HUB","APTEL/26/A0280","13-01-2026","Telugu","Daily","SIRASALA SURESH KUMAR","SIRASALA SURESH KUMAR","Andhra Pradesh","Sri Potti Sriramulu Nellore","View        registration details for NATIONALIST HUB (APTEL/26/A0280)"
"2064","NATIONALIST HUB","APTEL/26/A0277","13-01-2026","Telugu","Daily","SIRASALA SURESH KUMAR","SIRASALA SURESH KUMAR","Andhra Pradesh","Y.S.R.","View        registration details for NATIONALIST HUB (APTEL/26/A0277)"
"2065","NATIONALNEWS REPORTER","APTEL/25/A4312","25-11-2025","TELUGU","Daily","Kotlapalli Fouziya","Kotlapalli Fouziya","Andhra Pradesh","Kurnool","View        registration details for NATIONALNEWS REPORTER (APTEL/25/A4312)"
"2066","NATIONALNEWS REPORTER","APTEL/25/A3749","06-11-2025","TELUGU","Daily","Kotlapalli Fouziya","Kotlapalli Fouziya","Andhra Pradesh","Chittoor","View        registration details for NATIONALNEWS REPORTER (APTEL/25/A3749)"
"2067","NATIONALNEWS REPORTER","APTEL/2023/87945","22-07-2024","TELUGU","Monthly","KOTLAPALLI FOUZIYA","KOTLAPALLI FOUZIYA","Andhra Pradesh","","View        registration details for NATIONALNEWS REPORTER (APTEL/2023/87945)"
"2068","NATIONALNEWS REPORTER","APTEL/25/A3945","13-11-2025","TELUGU","Daily","Kotlapalli Fouziya","Kotlapalli Fouziya","Andhra Pradesh","Krishna","View        registration details for NATIONALNEWS REPORTER (APTEL/25/A3945)"
"2069","NATIONALNEWS REPORTER","APTEL/25/A2293","26-08-2025","TELUGU","Daily","Kotlapalli Fouziya","Kotlapalli Fouziya","Andhra Pradesh","Sri Satya Sai","View        registration details for NATIONALNEWS REPORTER (APTEL/25/A2293)"
"2070","NATIONALNEWS REPORTER","APENG/26/A1248","18-02-2026","English","Daily","Kotlapalli Fouziya","Kotlapalli Fouziya","Andhra Pradesh","Sri Satya Sai","View        registration details for NATIONALNEWS REPORTER (APENG/26/A1248)"
"2071","NATIONALNEWS REPORTER","APTEL/25/A3946","13-11-2025","TELUGU","Daily","Kotlapalli Fouziya","Kotlapalli Fouziya","Andhra Pradesh","Visakhapatnam","View        registration details for NATIONALNEWS REPORTER (APTEL/25/A3946)"
"2072","NATIVE NEWS","APTEL/2017/73016","18-08-2017","Telugu","Monthly","SAHUKARI OOHA","SAHUKARI OOHA","Andhra Pradesh","Srikakulam","View        registration details for NATIVE NEWS (APTEL/2017/73016)"
"2073","NATYA CHANDRIKA","20925","01-01-1969","Telugu","Fortnightly","M. VENKATAMMA","M. VENKATAMMA","Andhra Pradesh","Chittoor","View        registration details for NATYA CHANDRIKA (20925)"
"2074","NAVA KADALIKA","APTEL/2016/69507","01-12-2016","Telugu","Bimonthly (Once in two months)","GAMPA SATYANARAYANA","GAMPA SATYANARAYANA","Andhra Pradesh","Visakhapatnam","View        registration details for NAVA KADALIKA (APTEL/2016/69507)"
"2075","NAVA MAHILA LOKAM","APTEL/2015/64264","10-10-2015","Telugu","Monthly","KALAHASTHI VANKATESH","KALAHASTHI VENKATESH","Andhra Pradesh","Anantapur","View        registration details for NAVA MAHILA LOKAM (APTEL/2015/64264)"
"2076","NAVA SAMAJANIKI SRIKARAM AZAD","APTEL/25/A3944","13-11-2025","Telugu","Daily","PITHANI VENKATA LAKSHMI","PITHANI VENKATA LAKSHMI","Andhra Pradesh","Visakhapatnam","View        registration details for NAVA SAMAJANIKI SRIKARAM AZAD (APTEL/25/A3944)"
"2077","NAVA SAMAJANIKI SRIKARAM AZAD","APTEL/2012/50670","05-07-2013","Telugu","Fortnightly","P. VENKATA LASKSHMI","M/S AZAD PUBLICATIONS","Andhra Pradesh","Visakhapatnam","View        registration details for NAVA SAMAJANIKI SRIKARAM AZAD (APTEL/2012/50670)"
"2078","NAVA TELUGU GANGA","APTEL/25/A3531","28-10-2025","Telugu","Daily","TAMMINA GANGADHAR","TAMMINA GANGADHAR","Andhra Pradesh","Krishna","View        registration details for NAVA TELUGU GANGA (APTEL/25/A3531)"
"2079","NAVAJANATHA","APTEL/2003/11567","21-05-2003","Telugu","Daily","GOSIPATALA SYAM BABU","GOSIPATALA SYAM BABU","Andhra Pradesh","Krishna","View        registration details for NAVAJANATHA (APTEL/2003/11567)"
"2080","NAVAMALLETEEGA","APTEL/2017/73957","23-11-2017","Telugu","Monthly","KALIMIKONDA RAJESWARI","KALIMIKONDA RAJESWARI","Andhra Pradesh","Krishna","View        registration details for NAVAMALLETEEGA (APTEL/2017/73957)"
"2081","NAVAMARGAM","APTEL/2010/34230","08-11-2010","Telugu","Daily","IQBAL ALI SK","IQBAL ALI SK","Andhra Pradesh","Nalgonda","View        registration details for NAVAMARGAM (APTEL/2010/34230)"
"2082","NAVASAKAM","APTEL/2015/64459","27-10-2015","Telugu","Daily","SHAIK KASIM","SHAIK KASIM","Andhra Pradesh","Guntur","View        registration details for NAVASAKAM (APTEL/2015/64459)"
"2083","NAVASANKHARAVAM","APTEL/2005/15418","27-05-2005","Telugu","Weekly","VELPULA SESHACHALAPATHI","VELPULA SESHACHALAPATHI","Andhra Pradesh","Sri Potti Sriramulu Nellore","View        registration details for NAVASANKHARAVAM (APTEL/2005/15418)"
"2084","NAVATARAM","APTEL/2010/35311","12-01-2011","Telugu","Monthly","SIRIGIRI VARADARAJU","SIRIGIRI VARADARAJU","Andhra Pradesh","Srikakulam","View        registration details for NAVATARAM (APTEL/2010/35311)"
"2085","NAVATARAM","TEL/2014/58326","14-11-2014","Telugu","Daily","SIRIGIRI VARADARAJU","SIRIGIRI VARADARAJU","Andhra Pradesh","Srikakulam","View        registration details for NAVATARAM (TEL/2014/58326)"
"2086","NAVATARAM","APTEL/2018/76747","22-01-2019","Telugu","Daily","SIRIGIRI VARADARAJU","SIRIGIRI VARADARAJU","Andhra Pradesh","East Godavari","View        registration details for NAVATARAM (APTEL/2018/76747)"
"2087","Navayuga Sphoorti Kiranalu","APTEL/25/A5339","30-12-2025","Telugu","Monthly","G Jaya Bharathi","G Jaya Bharathi","Andhra Pradesh","Tirupati","View        registration details for Navayuga Sphoorti Kiranalu (APTEL/25/A5339)"
"2088","NAVBHARATH JATHEEYA PATRIKA","APTEL/2011/38372","26-07-2011","Telugu","Weekly","KESARI VENKATESHWAR RAO","KESARI VENKATESHWAR RAO","Andhra Pradesh","Hyderabad","View        registration details for NAVBHARATH JATHEEYA PATRIKA (APTEL/2011/38372)"
"2089","NAVBHARATH JATHEEYA PATRIKA","APENG/2009/28718","10-08-2009","English","Daily","KESARI VENKATESHWAR RAO","KESARI VENKATESHWAR RAO","Andhra Pradesh","Hyderabad","View        registration details for NAVBHARATH JATHEEYA PATRIKA (APENG/2009/28718)"
"2090","NAVBHARATH JATHEEYA PATRIKA","APTEL/2009/29556","12-11-2009","Telugu","Daily","KESARI VENKATESHWAR RAO","KESARI  VENKATESHWAR RAO","Andhra Pradesh","Warangal","View        registration details for NAVBHARATH JATHEEYA PATRIKA (APTEL/2009/29556)"
"2091","NAVBHARATH JATHEEYA PATRIKA","APTEL/2010/34374","16-11-2010","Telugu","Daily","KESARI VENKATESHWAR RAO","KESARI  VENKATESHWAR RAO","Andhra Pradesh","Guntur","View        registration details for NAVBHARATH JATHEEYA PATRIKA (APTEL/2010/34374)"
"2092","NAVBHARATH JATHEEYA PATRIKA","APTEL/2009/28704","10-08-2009","Telugu","Daily","KESARI VENKATESHWAR RAO","KESARI  VENKATESHWAR RAO","Andhra Pradesh","Hyderabad","View        registration details for NAVBHARATH JATHEEYA PATRIKA (APTEL/2009/28704)"
"2093","NAVEENA","15750","01-01-1967","English, Telugu","Monthly","KAVIRAJ DR. S. SESHA CHARLU","KAVIRAJ DR. S SESHA CHARLU","Andhra Pradesh","Chittoor","View        registration details for NAVEENA (15750)"
"2094","NAVEENA VIDYA","APTEL/2010/32863","05-07-2010","Telugu","Monthly","M. SREEDHAR RAO","AKSHARA ENTERPRISES","Andhra Pradesh","Hyderabad","View        registration details for NAVEENA VIDYA (APTEL/2010/32863)"
"2095","NAVVULU PUVVULU","8156","20-02-1963","Telugu","Monthly","V. RAMACHANDRA REDDY","V RAMACHANDRA REDDY","Andhra Pradesh","East Godavari","View        registration details for NAVVULU PUVVULU (8156)"
"2096","NAVYA ANDHRA DEEPIKA","APTEL/2015/65369","28-12-2015","Telugu","Daily","G.M. JAFURULLA","G M JAFARULLA","Andhra Pradesh","Kurnool","View        registration details for NAVYA ANDHRA DEEPIKA (APTEL/2015/65369)"
"2097","NAVYA JYOTHI","APTEL/2015/65602","12-01-2016","Telugu","Monthly","G.SYAMALA","G.SYAMALA","Andhra Pradesh","Kurnool","View        registration details for NAVYA JYOTHI (APTEL/2015/65602)"
"2098","Navya samajam","APTEL/25/A0383","22-05-2025","Telugu","Monthly","Ballamudi Nagendra Prasad","Ballamudi Nagendra Prasad","Andhra Pradesh","Vizianagaram","View        registration details for Navya samajam (APTEL/25/A0383)"
"2099","NAVYANDHRA","3281","17-03-1954","Telugu","Weekly","K SATYA NARAYANA","K SATYA NARAYANA","Andhra Pradesh","West Godavari","View        registration details for NAVYANDHRA (3281)"
"2100","NAVYANDHRA JOURNALIST","APTEL/25/A5122","12-12-2025","Telugu","Daily","SHAIK SHAHINA","SHAIK SHAHINA","Andhra Pradesh","Kurnool","View        registration details for NAVYANDHRA JOURNALIST (APTEL/25/A5122)"
"2101","NAVYANDHRA MANAASSAAKSHI","APTEL/2020/80172","06-08-2021","Telugu","Daily","MAHAMMAD MUNVAR BASHA","MAHAMMAD MUNVAR BASHA","Andhra Pradesh","Anantapur","View        registration details for NAVYANDHRA MANAASSAAKSHI (APTEL/2020/80172)"
"2102","NAVYANDHRA SARADHI","APTEL/2015/61440","21-04-2015","Telugu","Monthly","KUDUPUDI PARDHASARADHI","KUDUPUDI PARDHA SARADHI","Andhra Pradesh","East Godavari","View        registration details for NAVYANDHRA SARADHI (APTEL/2015/61440)"
"2103","NAVYANDHRA SARADHI","APTEL/26/A3087","06-05-2026","Telugu","Daily","KUDUPUDI PARDHA SARADHI","KUDUPUDI PARDHA SARADHI","Andhra Pradesh","East Godavari","View        registration details for NAVYANDHRA SARADHI (APTEL/26/A3087)"
"2104","NAVYANDRA LEADER","APTEL/2017/71206","12-04-2017","Telugu","Monthly","KAKI VEERA REDDY","KAKI VEERA REDDY","Andhra Pradesh","Vizianagaram","View        registration details for NAVYANDRA LEADER (APTEL/2017/71206)"
"2105","NAVYANDRA LO MANAM","APTEL/2016/70233","24-01-2017","Telugu","Daily","MANOHARAN PILLAI MOHAN KUMAR","MANOHARAN PILLAI MOHAN KUMAR","Andhra Pradesh","East Godavari","View        registration details for NAVYANDRA LO MANAM (APTEL/2016/70233)"
"2106","NAYANAM","APTEL/2010/31285","04-03-2010","Telugu","Monthly","AVVARU VENUKUMAR","G. NAGESH","Andhra Pradesh","Rangareddy","View        registration details for NAYANAM (APTEL/2010/31285)"
"2107","nayi lehar","APURD/25/A4503","01-12-2025","Urdu","Daily","SHAIK MUSKAN","SHAIK MUSKAN","Andhra Pradesh","Kurnool","View        registration details for nayi lehar (APURD/25/A4503)"
"2108","NEDA E SALAHEEN","APURD/2010/35097","28-12-2010","Urdu","Monthly","AHMED ABDUL HASEEB","AHMED ABDUL HASEEB","Andhra Pradesh","Hyderabad","View        registration details for NEDA E SALAHEEN (APURD/2010/35097)"
"2109","NEDU TELUGU ANTHRAJATEEYA","TEL/2001/08202","27-10-2002","Telugu","Weekly","KONDALA ESWARA RAO","K ESWARA RAO,DNO.39-","Andhra Pradesh","Krishna","View        registration details for NEDU TELUGU ANTHRAJATEEYA (TEL/2001/08202)"
"2110","NEE GAMYAM EDI","APTEL/2019/77522","10-06-2019","Telugu","Monthly","PADAMATA SRINIVASA RAVI KUMAR","PADAMATA SRINIVASA RAVI KUMAR","Andhra Pradesh","West Godavari","View        registration details for NEE GAMYAM EDI (APTEL/2019/77522)"
"2111","NEEDA","APTEL/2012/47330","04-01-2013","Telugu","Monthly","MODALAVALASA SUDRASNA RAO","MODALAVALASA SUDRASNA RAO","Andhra Pradesh","Srikakulam","View        registration details for NEEDA (APTEL/2012/47330)"
